,ax,ay,az
401,0.63918275,-1.1515459,9.872188
402,0.6511469,-1.1754742,9.90808
403,0.622433,-1.1850454,9.836296
404,0.63200426,-1.1754742,9.862617
405,0.5697909,-1.1754742,9.855438
406,0.55752766,-1.1659029,9.888938
407,0.5913263,-1.1228321,9.855438
408,0.55513483,-1.1587243,9.843474
409,0.55034924,-1.1371889,9.88176
410,0.58893347,-1.1778669,9.81476
411,0.53599226,-1.1539388,9.841082
412,0.52163535,-1.1276177,9.867402
413,0.5479564,-1.1587243,9.872188
414,0.552742,-1.1778669,9.920045
415,0.5599205,-1.1802598,9.879367
416,0.53359944,-1.1874382,9.88176
417,0.526421,-1.1682956,9.87458
418,0.54317075,-1.1563315,9.843474
419,0.5455636,-1.1347961,9.845867
420,0.5455636,-1.1084751,9.829117
421,0.5383851,-1.1252248,9.836296
422,0.5192425,-1.1467602,9.817153
423,0.5769694,-1.1371889,9.869795
424,0.5479564,-1.1826526,9.869795
425,0.6056832,-1.1539388,9.879367
426,0.61046886,-1.1682956,9.843474
427,0.60329044,-1.1730813,9.876974
428,0.58654064,-1.1611172,9.819546
429,0.61764735,-1.1539388,9.884152
430,0.5985048,-1.1563315,9.876974
431,0.622433,-1.1395818,9.83151
432,0.6128617,-1.1539388,9.867402
433,0.6511469,-1.1228321,9.845867
434,0.6367899,-1.1371889,9.872188
435,0.663111,-1.1300105,9.833903
436,0.61764735,-1.1587243,9.884152
437,0.6056832,-1.1515459,9.860224
438,0.58654064,-1.1730813,9.867402
439,0.61046886,-1.1778669,9.862617
440,0.59611195,-1.1659029,9.867402
441,0.6056832,-1.1922239,9.88176
442,0.60807604,-1.2065809,9.90808
443,0.581755,-1.1706885,9.869795
444,0.5383851,-1.1587243,9.872188
445,0.5697909,-1.1419746,9.857831
446,0.59611195,-1.1395818,9.850653
447,0.5697909,-1.1611172,9.812367
448,0.59611195,-1.1419746,9.841082
449,0.61764735,-1.1324034,9.891331
450,0.6008976,-1.1324034,9.841082
451,0.5913263,-1.1611172,9.872188
452,0.5697909,-1.2017952,9.903295
453,0.5721837,-1.1443675,9.824331
454,0.5697909,-1.1443675,9.8219385
455,0.55752766,-1.1491531,9.8219385
456,0.5626124,-1.1108679,9.824331
457,0.55752766,-1.1587243,9.888938
458,0.59611195,-1.1682956,9.833903
459,0.5841478,-1.1300105,9.886545
460,0.60807604,-1.1300105,9.850653
461,0.59611195,-1.1730813,9.843474
462,0.57936215,-1.1419746,9.879367
463,0.5769694,-1.1276177,9.872188
464,0.62721866,-1.16351,9.872188
465,0.622433,-1.1754742,9.88176
466,0.5841478,-1.1371889,9.833903
467,0.5913263,-1.1563315,9.87458
