,mx,my,mz
501,-34.706253,4.74375,-27.13125
502,-34.256252,4.55625,-26.156252
503,-32.9625,3.0375001,-26.962502
504,-32.831253,4.8187504,-24.91875
505,-34.95,4.36875,-27.750002
506,-33.3375,5.4,-26.38125
507,-33.862503,4.93125,-26.175001
508,-33.225002,4.2937503,-26.025002
509,-33.862503,4.9125004,-26.5125
510,-32.4375,3.525,-25.5375
511,-35.456253,5.25,-26.79375
512,-33.862503,4.9125004,-27.000002
513,-35.60625,4.05,-25.612501
514,-33.881252,5.1937504,-26.19375
515,-34.331253,4.03125,-25.1625
516,-34.800003,5.5687504,-28.275002
517,-33.693752,4.6312504,-26.025002
518,-34.425003,6.3562503,-26.531252
519,-33.300003,4.9875,-25.556252
520,-34.518753,4.3125,-26.962502
521,-32.8875,5.08125,-26.550001
522,-33.600002,5.15625,-26.19375
523,-33.43125,3.5062501,-25.35
524,-32.362503,4.05,-26.531252
525,-35.025,3.8437502,-26.2875
526,-33.075,4.14375,-26.5125
527,-33.975002,4.36875,-27.956251
528,-32.8875,3.5625002,-26.831251
529,-33.581253,4.89375,-26.5125
530,-32.737503,3.6937501,-26.175001
531,-32.737503,3.6937501,-26.175001
532,-33.956253,4.3875003,-26.325
533,-33.80625,5.7375,-27.187502
534,-34.0875,5.775,-26.04375
535,-33.28125,6.2250004,-26.23125
536,-33.018753,4.9500003,-26.38125
537,-34.5,5.55,-26.343752
538,-33.675003,4.3500004,-27.150002
539,-32.0625,4.03125,-25.725
540,-32.98125,6.1875005,-25.44375
541,-33.0,3.45,-25.35
542,-33.24375,4.5750003,-25.218752
543,-34.6875,4.7625003,-25.987501
544,-33.881252,5.2125,-25.706251
545,-35.025,5.3625,-24.056252
546,-33.9375,4.3875003,-25.518751
547,-33.3375,5.4,-26.868752
548,-33.862503,4.93125,-26.175001
549,-35.15625,5.2312503,-25.181252
550,-33.9,5.1937504,-27.000002
551,-32.60625,4.89375,-28.0125
552,-32.943752,3.0375001,-24.862501
553,-33.84375,4.93125,-25.368752
554,-34.10625,6.20625,-24.750002
555,-33.45,3.5062501,-26.962502
556,-33.7125,4.6125,-27.956251
557,-33.075,5.64375,-25.575
558,-34.0125,5.08125,-25.218752
559,-33.600002,5.175,-25.706251
560,-34.631252,4.0687504,-26.306252
561,-33.1875,3.8812501,-25.518751
562,-34.8375,3.2625,-26.437502
563,-33.54375,3.24375,-25.987501
564,-32.8875,5.08125,-26.212502
565,-33.675003,4.6312504,-25.2
566,-32.850002,4.8,-25.406252
567,-33.768753,5.45625,-26.04375
568,-33.61875,3.9375002,-26.812502
569,-34.3125,5.25,-26.175001
570,-33.05625,4.1625004,-24.88125
571,-33.9,5.1937504,-27.000002
572,-34.66875,4.4812503,-25.500002
573,-33.881252,4.9125004,-27.806252
574,-34.331253,4.03125,-26.306252
575,-34.36875,4.4437504,-25.500002
576,-33.300003,4.9875,-25.556252
577,-33.506252,4.2000003,-26.493752
578,-34.29375,4.9875,-25.687502
579,-34.3125,5.26875,-24.88125
580,-34.256252,4.55625,-26.156252
581,-35.11875,6.01875,-28.125002
582,-33.73125,5.0437503,-26.831251
583,-34.48125,5.55,-26.025002
584,-34.55625,6.24375,-26.362501
585,-33.018753,3.73125,-24.88125
586,-34.59375,5.2875004,-25.687502
587,-32.86875,3.5812502,-25.2
588,-33.768753,4.2375,-24.862501
589,-33.881252,5.1937504,-26.5125
590,-33.581253,4.875,-27.000002
591,-33.91875,3.9750001,-26.79375
592,-34.237503,4.5750003,-24.862501
593,-33.675003,4.6312504,-25.2
594,-33.65625,4.3500004,-25.518751
595,-34.29375,4.96875,-26.98125
596,-34.48125,2.68125,-25.931252
597,-33.075,4.14375,-26.19375
598,-33.881252,5.1937504,-26.5125
599,-32.475002,3.7875001,-26.362501
600,-33.91875,3.9750001,-27.13125
601,-32.9625,4.55625,-24.73125
602,-32.925003,5.49375,-26.550001
603,-32.925003,5.49375,-26.550001
604,-33.600002,5.15625,-26.19375
605,-33.600002,5.175,-25.706251
606,-33.3375,5.4187503,-25.556252
607,-33.15,4.8375,-26.531252
608,-34.36875,5.6625004,-26.5125
609,-34.068752,5.775,-25.237501
610,-34.518753,5.8125,-26.831251
611,-34.10625,3.1875002,-26.118752
612,-33.881252,5.1937504,-26.5125
613,-33.412502,6.0937505,-26.8875
614,-34.78125,5.86875,-24.393751
615,-34.518753,4.6125,-24.862501
616,-32.831253,1.9312501,-24.825
617,-33.881252,3.6937501,-26.306252
618,-33.45,3.7875001,-25.66875
619,-34.256252,4.55625,-26.962502
620,-32.381252,4.33125,-26.212502
621,-33.9375,4.3875003,-25.518751
622,-32.79375,4.0875,-27.806252
623,-33.881252,5.2125,-24.900002
624,-33.61875,3.9375002,-25.518751
625,-33.075,4.425,-24.562502
626,-33.131252,4.8375,-26.19375
627,-32.943752,4.2562504,-26.025002
628,-33.112503,4.40625,-27.000002
629,-33.825,4.5,-26.175001
630,-33.45,6.3750005,-27.206251
631,-33.525,4.4625,-26.5125
632,-33.0,3.45,-26.175001
633,-34.74375,5.175,-26.325
