,ax,ay,az
601,5.0108695,-2.4212375,8.015656
602,5.0012984,-2.521736,7.986943
603,5.0132627,-2.5002005,8.003693
604,5.0132627,-2.5289145,7.9534435
605,4.9677987,-2.5097718,7.960622
606,5.020441,-2.4619155,7.9103727
607,4.970192,-2.4068804,7.931908
608,4.9438705,-2.385345,7.931908
609,4.9725847,-2.387738,7.9510508
610,4.922335,-2.3901308,7.9295154
611,4.989334,-2.3491535,7.919944
612,4.99412,-2.3635106,7.9390864
613,5.0084767,-2.385345,8.010871
614,5.0563335,-2.3949163,8.030014
615,5.063512,-2.44038,7.9534435
616,5.0395837,-2.426023,7.958229
617,4.979763,-2.3973093,8.0013
618,4.9606204,-2.387738,7.998907
619,4.9486566,-2.3802602,8.0563345
620,4.9749775,-2.3515465,7.934301
621,4.955835,-2.3347967,8.030014
622,4.9989057,-2.3491535,8.013264
623,4.989334,-2.3515465,8.006085
624,4.99412,-2.344368,7.9965143
625,5.0132627,-2.4212375,8.013264
626,5.0156555,-2.3925235,7.9965143
627,5.0515475,-2.414059,7.98455
628,5.020441,-2.426023,7.98455
629,5.046762,-2.4499512,7.98455
630,5.0515475,-2.4475584,7.98455
631,5.0180483,-2.4332016,7.9534435
632,4.979763,-2.4068804,8.006085
633,5.006084,-2.3802602,7.9965143
634,4.996513,-2.4164517,7.998907
635,5.003691,-2.4499512,7.970193
636,4.9845486,-2.3778675,7.9941216
637,5.044369,-2.4571297,8.008478
638,4.9677987,-2.4427729,8.0252285
639,4.9869413,-2.4116662,7.9893355
640,5.0156555,-2.437987,7.903194
641,4.965406,-2.426023,7.9773717
642,5.030012,-2.3901308,8.020442
643,4.9773703,-2.3901308,7.9654074
644,5.003691,-2.4116662,7.943872
645,5.0395837,-2.414059,7.9773717
646,5.0276194,-2.3949163,8.018049
647,5.0515475,-2.4212375,7.9390864
648,5.0515475,-2.4451656,8.0013
649,5.0108695,-2.4284158,7.9893355
650,5.0754757,-2.4762723,7.958229
651,5.0395837,-2.4714868,7.9390864
652,5.0419765,-2.4044876,7.9486575
653,5.077869,-2.4523442,7.9893355
654,5.0419765,-2.4044876,8.013264
655,5.0563335,-2.4451656,8.027621
656,5.0682974,-2.495415,7.9630146
657,5.0252266,-2.4427729,8.0252285
658,5.0395837,-2.4619155,7.9390864
659,4.9989057,-2.44038,7.9797645
660,4.9989057,-2.4523442,7.9366937
