,mx,my,mz
401,-58.125004,9.918751,-11.25
402,-56.193752,11.71875,-12.993751
403,-56.193752,11.71875,-12.993751
404,-56.268753,11.19375,-12.0
405,-56.60625,11.793751,-11.34375
406,-56.79375,10.70625,-12.13125
407,-57.581253,11.493751,-11.793751
408,-56.831253,11.137501,-11.325001
409,-54.956253,9.543751,-11.00625
410,-56.2125,12.150001,-11.868751
411,-55.85625,11.26875,-12.4875
412,-55.893753,11.700001,-11.38125
413,-56.250004,10.9125,-12.31875
414,-56.4,12.58125,-12.0375
415,-55.48125,10.125,-13.931251
416,-58.8375,11.231251,-11.925
417,-57.581253,11.493751,-12.937501
418,-56.175003,10.21875,-12.3
419,-57.45,10.106251,-12.093751
420,-57.45,10.106251,-12.093751
421,-58.331253,12.0,-11.793751
422,-56.081253,10.6125,-13.275001
423,-58.18125,11.85,-11.962501
424,-56.175003,12.95625,-12.8625
425,-55.800003,10.575001,-13.781251
426,-55.800003,10.575001,-13.781251
427,-56.906254,11.8125,-12.150001
428,-58.0125,11.55,-11.306251
429,-56.9625,11.00625,-11.962501
430,-57.393753,12.281251,-13.781251
431,-56.625004,10.556251,-11.962501
432,-57.187504,10.5,-10.96875
433,-56.437504,9.975,-12.1125
434,-56.568752,9.8625,-11.45625
435,-57.43125,11.325001,-12.76875
436,-56.41875,9.69375,-12.918751
437,-56.943752,12.243751,-11.3625
438,-56.49375,9.168751,-11.925
439,-55.8375,9.7875,-10.35
440,-55.4625,10.425,-10.70625
441,-55.4625,10.14375,-12.31875
442,-56.062504,10.63125,-10.51875
443,-58.275,11.306251,-11.775001
444,-56.7,10.03125,-10.481251
445,-56.7,10.03125,-10.481251
446,-56.5125,9.168751,-13.06875
447,-56.831253,11.137501,-11.00625
448,-56.175003,10.21875,-12.7875
449,-57.3375,11.868751,-12.150001
450,-56.756252,11.6625,-12.31875
451,-56.9625,11.00625,-12.7875
452,-54.600002,10.1625,-11.85
453,-55.612503,8.925,-11.306251
454,-56.7,11.25,-11.981251
455,-57.825,12.468751,-12.3
456,-55.425003,11.231251,-11.868751
457,-55.95,10.875,-12.0
458,-55.068752,10.5,-12.168751
459,-55.8375,9.7875,-11.475
460,-56.1375,11.306251,-12.168751
461,-54.600002,11.400001,-12.8625
462,-54.600002,11.400001,-12.8625
463,-57.225002,10.762501,-12.1125
464,-57.225002,10.762501,-12.1125
465,-56.79375,10.70625,-12.937501
466,-55.875004,10.200001,-11.175
467,-56.49375,10.6875,-11.325001
468,-56.568752,9.8625,-12.750001
469,-56.49375,10.6875,-11.325001
470,-58.218754,10.89375,-11.26875
471,-55.968754,11.175,-11.19375
472,-56.475002,10.40625,-12.13125
473,-55.518753,10.837501,-11.19375
474,-56.9625,11.00625,-12.3
475,-56.49375,9.1875,-11.118751
476,-56.49375,9.1875,-11.118751
477,-57.3375,11.868751,-12.95625
478,-56.943752,10.575001,-13.575001
479,-56.625004,10.556251,-11.962501
480,-57.281254,9.95625,-12.243751
481,-56.79375,12.375001,-9.900001
482,-56.718754,10.03125,-10.96875
483,-56.7,11.25,-12.3
484,-56.006252,11.587501,-10.387501
485,-56.5875,11.3625,-12.95625
486,-56.025,11.56875,-12.01875
487,-56.68125,10.96875,-11.981251
488,-56.68125,10.96875,-11.981251
489,-56.193752,10.5,-11.493751
490,-56.86875,11.400001,-12.95625
491,-56.7,9.731251,-12.431251
492,-55.800003,10.575001,-14.1
493,-58.068752,9.225,-12.8625
494,-58.068752,9.225,-12.8625
495,-57.412502,11.043751,-13.89375
496,-57.412502,11.043751,-13.89375
497,-56.081253,10.6125,-12.95625
498,-57.506252,10.51875,-13.725
499,-57.506252,10.51875,-13.725
500,-56.2125,10.5,-13.106251
501,-56.11875,9.525001,-13.087501
502,-57.225002,10.762501,-11.793751
503,-57.225002,10.762501,-11.793751
504,-57.112503,9.806251,-11.2875
505,-56.643753,10.5375,-13.593751
506,-56.04375,10.35,-12.468751
507,-56.156254,11.306251,-12.975
508,-56.156254,11.306251,-12.975
509,-55.875004,9.75,-14.400001
510,-56.925003,10.59375,-11.962501
511,-56.625004,10.275001,-13.087501
512,-57.24375,10.762501,-13.25625
513,-57.24375,10.762501,-13.25625
514,-56.718754,11.25,-12.7875
515,-56.9625,11.00625,-11.475
516,-56.9625,11.00625,-11.475
517,-57.187504,10.5,-11.306251
518,-56.925003,10.59375,-12.76875
519,-56.925003,10.59375,-12.76875
520,-55.537502,11.118751,-11.212501
521,-54.750004,11.55,-12.543751
522,-57.225002,10.762501,-12.1125
523,-57.54375,11.212501,-11.793751
524,-56.8875,10.3125,-11.137501
525,-57.768753,12.075001,-11.15625
526,-56.568752,11.3625,-12.150001
527,-56.325,13.125001,-11.887501
528,-57.562504,9.712501,-13.05
529,-55.537502,12.337501,-12.543751
530,-55.537502,12.337501,-12.543751
531,-56.625004,11.775001,-13.293751
532,-56.268753,11.19375,-11.512501
533,-56.268753,11.19375,-11.512501
534,-55.500004,10.40625,-13.6125
535,-55.818752,11.00625,-12.168751
536,-55.818752,11.00625,-12.168751
537,-55.85625,9.76875,-13.106251
538,-55.85625,9.76875,-13.106251
539,-56.5125,10.668751,-12.450001
540,-55.93125,10.462501,-13.125001
541,-56.250004,12.13125,-13.8
542,-56.325,11.606251,-13.63125
543,-56.775,11.94375,-12.0
544,-57.281254,11.175,-13.743751
