,ax,ay,az
301,-1.4760724,-9.432806,-1.721935
302,-1.5478572,-9.437592,-1.7291135
303,-1.5717853,-9.408877,-1.7748762
304,-1.5984055,-9.401699,-1.8155541
305,-1.5864414,-9.353843,-1.8083757
306,-1.6271194,-9.375379,-1.8562322
307,-1.6486548,-9.368199,-1.8801605
308,-1.6582261,-9.353843,-1.8897316
309,-1.6582261,-9.353843,-1.8897316
310,-1.6199409,-9.35145,-1.9471594
311,-1.6941184,-9.353843,-1.8897316
312,-1.6534405,-9.365807,-1.8442681
313,-1.7228323,-9.380164,-1.7676977
314,-1.7204394,-9.399306,-1.7482561
315,-1.7324036,-9.432806,-1.7123637
316,-1.6654046,-9.463913,-1.6669
317,-1.713261,-9.442377,-1.7195421
318,-1.6917256,-9.413663,-1.7482561
319,-1.7012969,-9.361021,-1.7362919
320,-1.7467605,-9.341879,-1.7724833
321,-1.7180467,-9.317652,-1.7796619
322,-1.7012969,-9.349057,-1.7410775
323,-1.7060826,-9.3200445,-1.7434704
324,-1.6941184,-9.339187,-1.7605193
325,-1.6677973,-9.408877,-1.8107685
326,-1.6175481,-9.361021,-1.80359
327,-1.6462619,-9.423235,-1.7796619
328,-1.6390835,-9.432806,-1.8562322
329,-1.6271194,-9.44477,-1.777269
330,-1.6701902,-9.408877,-1.7027924
331,-1.7036897,-9.418449,-1.6908283
332,-1.7802601,-9.38495,-1.6932211
333,-1.7898313,-9.394521,-1.6286149
334,-1.7826529,-9.363414,-1.6381862
335,-1.7730815,-9.38495,-1.6645073
336,-1.7443677,-9.349057,-1.7147565
337,-1.713261,-9.368199,-1.7434704
338,-1.6893328,-9.3562355,-1.8299111
339,-1.6438692,-9.406485,-1.8346968
340,-1.6510476,-9.392128,-1.7868403
341,-1.6462619,-9.380164,-1.8442681
342,-1.6606189,-9.382557,-1.8251255
343,-1.6965113,-9.396914,-1.7410775
344,-1.6462619,-9.425628,-1.6932211
345,-1.6414764,-9.423235,-1.6884354
346,-1.591227,-9.435199,-1.6262221
347,-1.5936198,-9.392128,-1.6142579
348,-1.5669997,-9.406485,-1.5879369
349,-1.5382859,-9.382557,-1.5664015
350,-1.5574285,-9.396914,-1.6286149
351,-1.5936198,-9.389735,-1.6286149
352,-1.6175481,-9.361021,-1.6501503
353,-1.6390835,-9.3562355,-1.6621144
354,-1.6773686,-9.332008,-1.6238292
355,-1.713261,-9.315259,-1.6381862
356,-1.7252251,-9.387342,-1.6501503
357,-1.7347964,-9.399306,-1.654936
358,-1.6917256,-9.44477,-1.6477575
359,-1.6534405,-9.420842,-1.6429719
360,-1.6271194,-9.425628,-1.5831513
361,-1.5741782,-9.38495,-1.5999011
362,-1.5741782,-9.38495,-1.5999011
363,-1.5071791,-9.387342,-1.7003996
364,-1.5071791,-9.387342,-1.7003996
365,-1.509572,-9.41127,-1.8370895
366,-1.5071791,-9.466306,-1.9088743
367,-1.5478572,-9.47827,-1.9208384
368,-1.6175481,-9.502198,-1.9328024
