,mx,my,mz
301,-8.793751,53.343754,1.6500001
302,-7.9125004,52.95,0.65625
303,-10.21875,53.531254,2.8125
304,-9.337501,53.1375,1.0125
305,-9.543751,52.2,0.24375
306,-8.681251,53.737503,1.8000001
307,-9.675,53.5875,0.69375
308,-9.9375,53.475002,1.2
309,-8.681251,53.456253,-0.15
310,-7.8,51.99375,1.0125
311,-9.9375,53.475002,0.8625
312,-9.975,53.756252,0.8625
313,-9.543751,53.7,0.84375006
314,-9.75,54.2625,0.1875
315,-10.33125,54.468754,0.0375
316,-10.40625,53.662502,-0.09375
317,-9.712501,53.850002,-0.13125001
318,-10.03125,52.95,1.0500001
319,-8.512501,53.30625,0.3375
320,-11.475,54.61875,1.2
321,-8.793751,53.343754,1.1625
322,-8.887501,52.800003,-0.112500004
323,-10.03125,52.95,1.5375
324,-9.375,53.550003,1.0125
325,-9.8625,52.65,0.88125
326,-8.587501,52.7625,1.5
327,-8.90625,53.081253,1.81875
328,-8.55,53.568752,-0.46875003
329,-8.85,52.3875,-0.112500004
330,-7.7812505,53.2125,0.80625004
331,-8.6625,54.956253,1.10625
332,-9.39375,54.750004,-1.125
333,-7.2375,53.287502,0.61875004
334,-7.2937503,52.312504,-0.4875
335,-9.918751,53.062504,-0.41250002
336,-8.981251,53.775,0.99375004
337,-10.556251,55.331253,0.99375004
338,-10.556251,55.331253,0.99375004
339,-10.3125,54.187504,-0.43125
340,-9.50625,53.437504,1.66875
341,-10.181251,54.318752,0.20625001
342,-10.33125,52.968754,-0.075
343,-10.293751,54.206253,0.8625
344,-11.45625,54.3375,0.075
345,-8.606251,54.2625,0.31875002
346,-10.5,54.61875,-0.93750006
347,-8.90625,54.300003,0.31875002
348,-8.71875,52.500004,0.375
349,-10.63125,53.156254,0.41250002
350,-9.4125,53.831253,1.48125
351,-8.90625,53.081253,1.5
352,-9.95625,53.756252,1.66875
353,-8.606251,52.7625,0.675
354,-9.1125,52.29375,1.2
355,-11.025001,54.300003,0.88125
356,-9.225,53.381252,0.84375006
357,-10.012501,54.187504,1.9875001
358,-10.06875,53.2125,1.03125
359,-8.793751,54.843754,0.95625
360,-8.418751,52.18125,-0.43125
361,-8.83125,55.125004,0.95625
362,-10.106251,53.625004,-0.112500004
363,-10.106251,53.625004,-0.112500004
364,-9.168751,52.55625,-0.75
365,-8.793751,53.343754,1.1625
366,-8.606251,52.7625,0.20625001
367,-9.337501,54.35625,-0.46875003
368,-8.025001,54.05625,0.15
369,-10.275001,53.79375,0.375
370,-9.46875,54.225002,-0.63750005
371,-10.087501,53.193752,-1.725
372,-10.200001,51.881252,1.8937501
373,-8.512501,53.30625,0.82500005
374,-9.7875,51.956253,1.725
375,-9.675,53.5875,1.5
376,-9.4875,53.006252,0.375
377,-11.75625,54.375004,0.09375
378,-8.8125,53.625004,1.9687501
379,-7.1062503,51.881252,-0.63750005
380,-9.993751,52.537502,1.5375
381,-9.375,53.550003,1.0125
382,-9.900001,53.062504,1.6875001
383,-9.5625,52.4625,0.24375
384,-9.5625,53.7,-0.45000002
385,-8.700001,53.718754,-0.63750005
386,-8.7375,54.15,-0.16875
387,-10.275001,52.55625,1.06875
388,-10.125,53.906254,1.03125
389,-8.231251,53.4,1.4625001
390,-9.28125,52.443752,1.03125
391,-10.012501,52.95,2.1750002
392,-10.2375,55.0125,0.675
393,-11.1,53.756252,1.5375
394,-10.33125,54.487503,0.35625002
395,-9.543751,53.7,0.0375
396,-10.03125,52.95,0.73125005
397,-8.38125,54.787502,-0.1875
398,-10.462501,54.35625,0.20625001
399,-9.637501,53.156254,0.71250004
400,-9.918751,53.062504,0.075
401,-10.012501,54.16875,1.66875
402,-10.012501,54.16875,1.66875
403,-7.9125004,52.95,0.65625
404,-10.35,53.250004,0.24375
405,-10.40625,53.943752,1.5187501
406,-8.606251,52.7625,-0.13125001
407,-9.618751,53.175003,1.8375001
408,-8.625,53.04375,1.48125
409,-10.425,53.943752,0.22500001
410,-10.668751,53.568752,0.88125
411,-9.6,54.112503,-0.46875003
412,-9.58125,52.4625,-0.58125
413,-9.58125,52.4625,-0.58125
414,-9.6,52.893753,1.03125
415,-7.4812503,52.893753,0.975
416,-8.08125,53.250004,0.3375
417,-10.25625,53.79375,0.8625
418,-9.69375,50.98125,0.93750006
419,-10.275001,53.79375,0.056250002
420,-10.837501,54.000004,1.5187501
421,-9.637501,53.156254,0.71250004
422,-9.637501,53.156254,0.71250004
423,-10.6875,53.850002,2.0062501
424,-8.925,53.062504,-0.13125001
425,-10.03125,54.16875,-0.45000002
426,-8.19375,52.987503,1.48125
427,-10.59375,52.725002,-0.39375
428,-9.4125,52.312504,0.88125
429,-8.887501,52.800003,1.0125
430,-8.700001,52.218754,0.375
431,-9.450001,52.575,-1.06875
432,-8.868751,54.018753,0.0
433,-9.262501,53.662502,-0.7875
434,-10.275001,52.55625,1.06875
435,-10.89375,54.412502,1.5187501
436,-7.2562504,52.350002,2.7562501
437,-8.3625,51.787502,1.2
438,-8.3625,51.787502,1.2
439,-9.375,53.550003,1.5
440,-8.587501,52.781254,2.1375
441,-7.8,53.2125,0.31875002
442,-10.368751,54.9,0.84375006
443,-8.19375,52.987503,0.99375004
444,-9.993751,53.737503,-0.76875
445,-10.106251,55.143753,0.82500005
