,ax,ay,az
501,-8.190632,-18.69602,-12.044272
502,-8.344071,-32.046177,24.415165
503,-3.545864,-43.947178,7.194021
504,-0.44117668,-44.421555,-11.4191475
505,9.078369,-39.441196,6.084948
506,8.417352,-37.72853,51.896435
507,-22.906193,-39.393337,13.700106
508,-8.832806,-25.446772,-3.2383864
509,-2.48704,-14.135001,-9.145667
510,-4.566403,-9.741779,-8.843872
511,-6.2407804,-5.5977097,-3.4803605
512,-6.5234327,-1.1012967,11.98505
513,-5.871987,1.3229318,18.0359
514,-4.4057846,1.4596218,9.857831
515,-2.9036903,0.59970117,2.1227329
516,-0.4531408,1.212862,1.0615159
517,3.135196,-0.028115666,6.6598234
518,0.9625129,-4.653741,11.2806635
519,-1.0184451,-7.5906315,12.404094
520,-2.3192434,-9.332008,10.313066
521,-1.4856437,-9.063713,9.6326065
522,-0.74536425,-8.038688,8.937791
523,-0.67118675,-6.148657,8.274381
524,-0.762114,-4.2056847,7.0863442
525,-1.1359925,-2.0234306,6.425028
526,-1.4665012,-0.31076783,6.9592257
527,-1.9839491,0.7408777,6.997511
528,-2.335993,0.27128628,6.250053
529,-2.7003005,-0.111864455,6.655038
530,-4.286144,-1.230509,7.697112
531,-4.8849473,-2.0832512,8.161918
532,-5.1029935,-3.566203,8.981161
533,-4.4967117,-4.045366,8.705687
534,-4.048955,-4.6202416,8.260024
535,-3.9768713,-4.5074797,8.255239
536,-3.938586,-4.2777686,8.32463
537,-3.7543387,-3.1779675,8.281559
538,-3.246462,-2.1529422,8.456534
539,-3.3110683,-2.0138593,8.743972
540,-3.6583266,-2.4906292,9.314062
541,-4.3986063,-2.44038,9.203693
542,-5.042874,-2.387738,9.223135
543,-5.2680984,-2.5959134,9.04816
544,-5.299205,-2.545664,8.976375
545,-5.1293144,-2.426023,8.909077
546,-5.069494,-2.5097718,8.57139
547,-4.319643,-2.2606192,8.499605
548,-3.9864426,-1.8293129,8.293523
549,-4.0441694,-1.8918254,8.909077
550,-4.8562336,-1.8005991,9.661321
551,-5.4909296,-2.0018952,9.697213
552,-6.235995,-2.2845473,9.752248
553,-5.9318075,-2.167299,9.661321
554,-5.895915,-1.9061823,10.11177
555,-6.0155563,-1.7001005,10.26491
556,-6.1642103,-1.6043876,9.943973
557,-5.948557,-1.6618153,9.357133
558,-6.0251274,-1.719243,9.41456
559,-5.59412,-1.4198412,9.474381
560,-5.452645,-1.3600205,10.008579
561,-5.517251,-1.4030914,10.322637
562,-5.9342003,-1.6689938,10.4566345
563,-6.3915286,-1.7862421,10.296316
564,-6.6984076,-1.8293129,9.759726
565,-6.858727,-1.7982062,9.886545
566,-6.794121,-1.7527425,10.217053
567,-6.494719,-1.5586249,10.425529
568,-6.159425,-1.4102699,10.427921
569,-5.7687964,-1.5011971,10.712966
570,-5.692226,-1.5777674,10.567004
571,-5.9318075,-1.5418751,10.610075
572,-5.979664,-1.6378871,10.837692
573,-6.2144594,-2.006681,10.746466
574,-6.3747787,-2.0952153,10.313066
575,-6.2048883,-2.1361923,10.389636
576,-6.017949,-2.044966,10.15484
577,-6.053841,-1.87029,9.989436
578,-5.8624153,-1.7694924,10.085448
579,-5.622834,-1.6546369,9.582357
580,-5.6443696,-1.5634105,9.201301
581,-5.5507503,-1.7623138,8.940184
582,-5.388038,-1.9444675,8.86122
583,-5.3473606,-2.1218355,8.942576
584,-5.2441697,-2.2534406,8.935398
585,-5.009374,-2.2295125,8.844471
586,-4.7674,-2.265405,9.103194
587,-4.6836514,-2.2031915,9.455238
588,-4.714758,-2.11705,9.728319
589,-4.5999026,-2.0832512,9.450453
590,-4.6094737,-2.059323,9.737891
591,-4.82752,-2.0521445,10.13809
592,-4.4967117,-1.7766708,9.778868
593,-3.830909,-1.4844474,9.716355
594,-4.048955,-1.7718852,8.794222
595,-4.2188454,-2.5193431,8.8085785
596,-4.034598,-3.3026934,8.700901
597,-3.7061832,-4.1482573,8.638389
598,-3.802195,-5.358128,7.2299137
599,-4.221238,-6.58445,6.6622167
600,-5.4981084,-8.222935,4.796114
601,-6.1208405,-10.153943,3.03051
602,-6.8539414,-12.4319105,1.0710872
603,-9.177671,-19.364515,-0.92662054
604,-8.310572,-23.635704,-3.013162
605,-6.343672,-24.124437,-4.980062
606,-3.9194436,-22.035503,-4.520042
607,-4.4656053,-25.115963,-3.4564323
608,-5.1532426,-27.35116,-3.6816568
609,-5.9988065,-28.728527,-3.8682969
610,-6.849156,-28.297222,-2.8600214
611,-6.070591,-25.15694,-1.262214
612,-3.4764721,-20.890537,0.21834506
613,-1.3779668,-15.869499,6.6598234
614,0.33020952,-8.908179,18.836
615,1.0582259,-2.0306091,27.241987
616,1.5661024,-1.8460627,15.324234
617,-0.20877378,-4.7398825,2.0964117
618,-1.3325031,-6.067002,-4.194319
619,0.0065802624,-5.0659046,-4.345067
620,1.3217354,-3.9637108,-2.9318058
621,-1.9384855,-2.1385853,9.107981
622,-5.232206,-1.7168503,8.470891
623,-5.2202415,-1.5900307,2.335993
624,-2.4008985,-0.61734825,-0.4956134
625,-1.11685,0.26889345,-1.9830518
626,-0.005383851,0.5300102,-1.8705891
627,-0.13459627,0.9062816,-1.6860427
628,-0.24735804,1.0163515,-2.1460629
629,-0.20877378,1.1602199,-2.4933212
630,0.20309082,1.157827,-2.5387847
631,0.2222334,1.2200404,-2.1604197
632,0.30388847,1.198505,-1.5544374
633,0.15044872,1.1147562,-0.79740816
634,0.12412767,1.0331012,-0.90029955
635,0.07148558,1.0139586,-1.3627125
636,0.0017946169,1.3277174,-2.376073
637,-0.26889345,1.4596218,-3.4396825
638,-0.2425724,1.8475581,-5.3967123
639,0.06430711,1.4620147,-5.118846
640,-0.19202402,0.81266236,-4.503292
641,-0.6831509,0.39840496,-4.328317
642,-1.3683954,0.3385844,-3.4851463
643,-1.6630118,0.25932217,-2.606083
644,-1.7970098,0.20668006,-1.7700906
645,-1.8930218,0.09421739,-0.9939187
646,-1.9097716,-0.035294134,-0.8572287
647,-1.9336998,-0.054436713,-0.8117651
648,-1.8547367,-0.13579269,-0.8787641
649,-1.6366907,-0.2533401,-0.76630145
650,-1.3181462,-0.31076783,-0.7615158
651,-1.2221341,-0.34666017,-0.6774679
652,-0.8150552,-0.28923243,-0.40917268
653,-0.6520442,-0.4423731,-0.22013968
654,-1.6103697,-2.248655,44.841797
655,-6.0394845,-9.30808,26.894728
656,-7.927122,-12.609278,-8.187641
657,-1.7946169,-10.532308,-14.22892
658,-1.6606189,-11.509776,-9.301499
659,-9.026625,-24.421448,8.238488
660,-13.999807,-62.011494,49.026543
661,-18.850657,-77.57023,51.237812
662,-7.43121,-72.73852,16.263418
663,4.1605206,-33.569805,-15.290136
664,-2.2211375,-16.118652,-13.47189
