,gx,gy,gz
501,1.781336,0.8170337,0.4499278
502,1.5852,0.85118777,0.33102116
503,1.4264137,0.84639424,0.2537252
504,1.2515823,0.74939144,0.23827931
505,1.1225559,0.6459972,0.2958685
506,0.97921544,0.5361451,0.38381678
507,0.8854084,0.4882096,0.3880777
508,0.8469934,0.46317664,0.38381678
509,0.75957775,0.45412216,0.3816863
510,0.6077154,0.3736305,0.332619
511,0.4238296,0.3219001,0.27616167
512,0.32256588,0.31976965,0.24040978
513,0.19407214,0.3027259,0.17756103
514,0.08109087,0.27502984,0.12476542
515,0.018175539,0.23981059,0.07889382
516,-0.06497922,0.23501703,0.032023568
517,-0.15825368,0.1950708,-0.019706812
518,-0.27496326,0.13268809,-0.08149032
519,-0.4028578,0.106057264,-0.14440565
520,-0.5185022,0.09327447,-0.20838621
521,-0.6133745,0.077229396,-0.26058263
522,-0.7173679,0.056989968,-0.31124777
523,-0.80744666,0.028228676,-0.33894384
524,-0.9555806,-0.04214328,-0.39333728
525,-1.084607,-0.09487232,-0.44606632
526,-1.217295,-0.15246147,-0.50631857
527,-1.3158957,-0.2217682,-0.5622433
528,-1.4539765,-0.3294233,-0.6390067
529,-1.6506451,-0.5117113,-0.76004374
530,-1.7678874,-0.6620423,-0.8447298
531,-1.9485775,-0.8613741,-0.9923977
532,-1.9997087,-0.92741853,-1.02542
533,-2.1143544,-1.1001194,-1.0835418
534,-2.1708117,-1.3756819,-1.160305
535,-2.170279,-1.5638287,-1.1810771
536,-2.1282024,-1.6891267,-1.1427287
537,-2.057298,-1.6784743,-1.0419977
538,-1.9730779,-1.5473175,-0.9342759
539,-1.8654227,-1.2792118,-0.8452624
540,-1.7396587,-0.88853747,-0.7754896
541,-1.6602322,-0.5473966,-0.740803
542,-1.5994474,-0.24360548,-0.71949834
543,-1.6682215,0.026098209,-0.6464633
544,-2.09032,0.48874223,-0.5052533
545,-2.4208086,0.6641062,-0.44979465
546,-2.9884446,0.5772231,-0.40132654
547,-3.4996233,0.21531023,-0.39813083
548,-3.9707892,-0.033621415,-0.34427
549,-4.6721787,-0.28568217,-0.3405417
550,-5.222771,-0.4621114,-0.39173946
551,-5.574564,0.14014472,-0.16571032
552,-5.7781568,0.27236676,-0.07509893
553,-5.8831487,0.11564436,-0.21531023
554,-5.8405395,0.0516638,-0.63155
555,-5.1902814,0.8111749,-1.2589056
556,-4.8944793,1.8447173,-1.4577048
557,-4.901936,2.8461695,-1.4188238
558,-4.994678,3.4953625,-1.4369328
559,-5.2105207,3.6526175,-1.5669578
560,-5.3528624,3.5998883,-1.673015
561,-5.3475366,2.9469006,-1.7855303
562,-3.8902977,1.280743,-1.83027
563,-2.5289965,0.6704976,-1.8308027
564,-0.9593089,-1.2547114,-1.7935195
565,-0.56703687,-3.263075,-1.6144272
566,-0.24347232,-6.0069156,-1.1880012
567,-0.10172975,-6.9279428,-0.923091
568,0.67216206,-6.327817,-0.53081894
569,1.5212859,-3.976182,-0.08095771
570,1.3634982,-0.44187197,0.17110306
571,1.148188,0.8501225,0.14127652
572,1.2627672,0.5953321,0.04427375
