,mx,my,mz
51,4.18125,46.162502,-18.993752
52,6.3,42.84375,-24.150002
53,6.7500005,41.006252,-25.406252
54,18.35625,35.006252,-31.593752
55,5.55,19.518751,-43.575
56,18.300001,5.5125003,-43.875
57,23.00625,-4.6312504,-43.256252
58,24.581251,-5.7562504,-40.8375
59,24.31875,-4.6312504,-41.025
60,24.6,2.2875001,-43.18125
61,18.35625,15.225,-42.54375
62,20.625,33.6375,-31.63125
63,12.843751,48.881252,-7.9875
64,7.9875,48.9,-10.9125
65,7.4437504,46.443752,-17.475
66,9.1875,44.287502,-20.8875
67,10.481251,39.15,-27.093752
68,10.837501,25.331251,-40.818752
69,14.062501,11.08125,-44.23125
70,20.41875,1.4250001,-43.0125
71,21.487501,-2.11875,-42.61875
72,22.1625,-3.15,-42.45
73,20.081251,3.6750002,-41.775
74,14.625001,12.675,-43.5
75,14.85,26.775002,-37.256252
76,15.468751,44.5125,-16.5375
77,6.7875004,48.24375,-10.21875
78,3.5812502,44.850002,-20.56875
79,10.387501,40.143753,-25.500002
80,9.58125,40.893753,-28.25625
81,15.675,25.275002,-39.675003
82,10.03125,17.175001,-45.2625
83,19.143751,5.53125,-44.23125
84,20.6625,-1.06875,-44.25
85,23.75625,-5.0062504,-44.4
86,23.25,-1.3875,-43.8375
87,17.456251,8.19375,-45.393753
88,15.20625,22.875,-40.725002
89,17.925001,38.8125,-24.712502
90,11.90625,46.95,-7.5750003
91,12.337501,45.7125,-17.94375
92,11.212501,43.912502,-19.95
93,11.325001,42.506252,-22.837502
94,18.28125,30.862501,-36.99375
95,7.6687503,19.518751,-45.2625
96,16.2,6.58125,-44.98125
97,19.0125,-3.05625,-43.987503
98,22.237501,-3.8437502,-41.943752
99,21.1875,-2.1000001,-44.568752
100,17.925001,10.6125,-44.662502
101,13.650001,19.63125,-42.206253
102,20.71875,36.112503,-27.656252
103,12.20625,48.281254,-7.14375
104,10.668751,45.375,-18.0375
105,11.4375,41.4,-22.81875
106,9.150001,41.550003,-22.9125
107,16.3875,35.11875,-30.075
108,4.9500003,27.431252,-39.5625
109,13.06875,10.650001,-46.800003
110,19.518751,1.6500001,-46.40625
111,22.10625,-2.7562501,-43.59375
112,22.95,-2.71875,-45.09375
113,19.3875,7.275,-45.112503
114,12.843751,20.400002,-43.818752
115,17.38125,33.787502,-27.956251
116,15.4875,46.78125,-6.3750005
117,10.931251,45.61875,-17.400002
118,10.33125,40.8375,-24.712502
119,8.606251,42.2625,-26.156252
120,9.69375,37.987503,-30.768751
121,4.425,29.94375,-39.61875
122,13.51875,12.093751,-45.393753
123,20.962502,3.1312501,-43.575
124,23.268751,-2.8875,-43.631252
125,24.750002,-3.4875002,-43.65
126,23.306252,1.06875,-43.10625
127,16.518751,11.868751,-45.318752
128,11.306251,24.562502,-43.256252
