,ax,ay,az
501,-4.2020955,-2.5839493,-9.303893
502,-4.154239,-2.6341987,-9.2488575
503,-4.1757746,-2.5600212,-9.315857
504,-4.1494536,-2.3829522,-9.404391
505,-4.113561,-2.126621,-9.524331
506,-4.1374893,-1.8583258,-9.68465
507,-4.1757746,-1.6474584,-9.773185
508,-4.3579283,-1.625923,-9.722936
509,-4.5206404,-1.6331015,-9.634401
510,-4.65733,-1.7048861,-9.421141
511,-4.820341,-1.9133608,-9.330214
512,-4.892126,-1.992324,-9.4019985
513,-4.9256253,-1.9612173,-9.373284
514,-4.9471607,-1.9229321,-9.39482
515,-4.8155556,-1.9205393,-9.4019985
516,-4.813163,-1.9444675,-9.478569
517,-4.659723,-1.9492532,-9.603294
518,-4.491926,-2.0377877,-9.708579
519,-4.3794637,-2.1457636,-9.845269
520,-4.2837505,-2.169692,-9.8524475
521,-4.2837505,-2.1481566,-10.056136
522,-4.267001,-2.1242282,-10.142278
523,-4.269394,-2.0401804,-10.338788
524,-4.307679,-1.8173488,-10.432109
525,-4.523332,-1.6905292,-10.460822
526,-4.686044,-1.5804594,-10.506286
527,-4.9256253,-1.4988043,-10.463215
528,-5.122136,-1.448555,-10.484751
529,-5.1843495,-1.4294125,-10.427323
530,-5.354539,-1.4365909,-10.44168
531,-5.3976097,-1.4389837,-10.573285
532,-5.323133,-1.3743775,-10.757832
533,-5.2369914,-1.3241283,-10.815259
534,-5.1460643,-1.2807583,-10.856236
535,-5.124529,-1.2113664,-10.856236
536,-5.1795635,-1.1802598,-10.709975
537,-5.1867423,-1.2807583,-10.681261
538,-5.1699924,-1.1587243,-10.824831
539,-5.1939206,-1.082154,-10.733903
540,-5.201099,-1.1108679,-10.590334
541,-5.0599227,-1.2711871,-10.204492
542,-5.0189457,-1.2975081,-10.089636
543,-4.918447,-1.4772689,-9.758828
544,-4.788935,-1.6307086,-9.529117
545,-4.741079,-1.7312071,-9.315857
546,-4.58076,-1.8487546,-9.25125
547,-4.384249,-1.8942182,-9.18156
548,-4.130311,-1.9253249,-9.128918
549,-3.9026937,-1.951646,-9.112167
550,-3.7181473,-1.9492532,-9.119347
551,-3.5482569,-1.9444675,-9.2437725
552,-3.4956148,-2.004288,-9.500104
553,-3.4307094,-1.9277177,-9.828519
554,-3.4860435,-1.8655044,-10.099207
555,-3.5937204,-1.8364913,-10.159028
556,-4.025027,-1.7503498,-9.885947
557,-4.1757746,-1.7383857,-9.799805
558,-4.575974,-1.7766708,-9.581759
559,-4.942375,-1.8173488,-9.291928
560,-5.098208,-1.8364913,-8.891729
561,-5.258527,-1.8173488,-8.642576
562,-5.3330035,-1.9157536,-8.475079
563,-5.5965133,-2.0306091,-8.283354
564,-5.651548,-2.1984057,-8.019844
565,-5.5316076,-2.3419752,-7.9217386
566,-5.2513485,-2.4762723,-7.9480596
567,-4.853841,-2.684747,-8.206783
568,-4.5206404,-2.6919255,-8.393424
569,-4.1087756,-2.6413772,-8.549256
570,-3.6367912,-2.548057,-8.709874
571,-3.330211,-2.437987,-8.956335
572,-3.05713,-2.4092734,-9.121739
573,-2.853441,-2.3491535,-9.229416
574,-2.542075,-2.3949163,-9.191131
575,-2.4846473,-2.4619155,-9.4019985
576,-2.3455644,-2.6512475,-9.500104
577,-2.434398,-2.8139594,-9.605687
578,-2.7003005,-2.9626136,-9.689436
579,-3.1552358,-2.8163524,-9.256036
580,-3.275176,-2.8019953,-9.076276
581,-3.600899,-2.6632116,-8.788837
582,-3.897908,-2.5289145,-8.570791
583,-4.0704904,-2.5002005,-8.518149
584,-4.262215,-2.4978077,-8.472686
585,-4.400999,-2.483451,-8.367103
586,-4.441677,-2.4427729,-8.165807
587,-4.415356,-2.5289145,-8.046165
588,-4.115954,-2.6078775,-7.952845
589,-3.7950168,-2.7038896,-8.084451
590,-3.481258,-2.902494,-8.335996
591,-3.1432717,-3.0056844,-8.616255
592,-2.8869405,-3.1109686,-8.841479
593,-2.6306095,-3.226123,-8.965906
594,-2.4678974,-3.2979078,-9.073882
595,-2.335993,-3.4103706,-9.023633
