,gx,gy,gz
501,-0.4055209,0.161982,0.2574535
502,-0.383151,0.18654893,0.25532305
503,-0.34853092,0.21637546,0.24626856
504,-0.3271597,0.22489733,0.23827931
505,-0.31970307,0.20838621,0.23508361
506,-0.33142063,0.18175538,0.22602913
507,-0.3543897,0.14706874,0.20951802
508,-0.3794227,0.07882725,0.18714812
509,-0.39806426,0.0117175635,0.16897258
510,-0.3964664,-0.050132528,0.14500484
511,-0.34906355,-0.10339418,0.12370019
512,-0.33781204,-0.0879483,0.11251524
513,-0.30265933,-0.029893102,0.09973244
514,-0.2717676,0.047935486,0.099199824
515,-0.25685433,0.13162285,0.107189074
516,-0.24027662,0.17483138,0.11890664
517,-0.22163504,0.20519051,0.13488513
518,-0.21577626,0.18921201,0.14820054
519,-0.19606945,0.161982,0.15459195
520,-0.17636265,0.12895977,0.14820054
521,-0.1555906,0.08262213,0.13009158
522,-0.13421936,0.018641578,0.10931954
523,-0.12303442,-0.0330888,0.076230735
524,-0.1390129,-0.06504579,0.032023568
525,-0.16890602,-0.11677617,-0.03515269
526,-0.17689526,-0.13754821,-0.056989968
527,-0.18594974,-0.16204858,-0.07243585
528,-0.17742787,-0.1854837,-0.069240145
529,-0.16571032,-0.17163567,-0.067642294
530,-0.11504517,-0.13648298,-0.061783515
531,-0.0644466,-0.055458695,-0.04580502
532,-0.022835933,0.029826526,-0.035685305
533,0.017642923,0.06604445,-0.028761292
534,0.028827868,0.085817836,-0.027696058
535,0.032622762,0.08635045,-0.033022225
536,0.041144624,0.06817491,-0.038881004
537,0.05126434,0.052196417,-0.04101147
538,0.06031882,0.005326165,-0.051131185
539,0.064047135,-0.044806365,-0.07350108
540,0.07682993,-0.0879483,-0.08734911
541,0.10559122,-0.10931954,-0.091077425
542,0.13708217,-0.100198485,-0.09001219
543,0.15252805,-0.085817836,-0.09001219
544,0.15998468,-0.04533898,-0.09161004
545,0.17489795,0.0117175635,-0.08681649
546,0.19833307,0.07456631,-0.084686026
547,0.22076954,0.12682931,-0.07776201
548,0.23195449,0.16837339,-0.07403369
549,0.24367206,0.19720127,-0.07030538
550,0.25911793,0.21317975,-0.06391398
551,0.28574875,0.2019948,-0.07243585
552,0.29640108,0.1886794,-0.07989248
553,0.30225986,0.16411246,-0.09374051
554,0.29906416,0.12949239,-0.11085081
555,0.27775952,0.06284875,-0.14813396
556,0.24953084,-0.02243647,-0.1880802
557,0.22822617,-0.114113085,-0.22383209
558,0.20259401,-0.19294032,-0.24726722
559,0.19087644,-0.25798613,-0.25898477
560,0.18501766,-0.29480323,-0.25206077
561,0.17649579,-0.31504267,-0.21957116
562,0.20738755,-0.33901042,-0.2174407
563,0.25272653,-0.24147502,-0.19553684
564,0.3103157,-0.12529804,-0.16997124
565,0.36357734,-0.0058587817,-0.14334042
566,0.41956866,0.16304722,-0.11830744
567,0.4728303,0.35332447,-0.10066452
568,0.4914719,0.44872943,-0.08415341
569,0.51337576,0.5553859,-0.0612509
570,0.52562594,0.65132344,-0.0484681
571,0.5187019,0.70405245,-0.041544087
572,0.5000603,0.6832804,-0.026630826
573,0.4786891,0.5772231,-0.026098209
574,0.47442815,0.49619886,-0.034087457
575,0.46697152,0.435414,-0.043674555
576,0.44566688,0.34000906,-0.07296846
577,0.4211665,0.23927797,-0.120437905
578,0.37689275,0.13428594,-0.16571032
579,0.339077,0.046337638,-0.20572312
580,0.32842466,-0.016577689,-0.23448442
581,0.32735944,-0.046404213,-0.24779983
582,0.3167071,-0.06238271,-0.25206077
583,0.30332512,-0.04374113,-0.2435389
584,0.29533586,0.015978495,-0.2307561
585,0.2958685,0.07403369,-0.21158192
586,0.31191355,0.17103648,-0.1816888
587,0.33428344,0.24247366,-0.15399274
588,0.38221893,0.36404338,-0.1033276
589,0.41211203,0.43434876,-0.06870753
590,0.42010128,0.49566624,-0.04740287
591,0.41690558,0.5228297,-0.044739787
592,0.40678588,0.52496016,-0.04314194
593,0.37742537,0.50259024,-0.060718283
594,0.34387055,0.41357672,-0.090544805
595,0.30172727,0.23608227,-0.14067733
596,0.28468353,0.15186228,-0.15985154
597,0.2516613,-0.017110305,-0.19393899
598,0.22236739,-0.14713532,-0.22649518
599,0.19194168,-0.26544276,-0.25365862
600,0.17809364,-0.30119464,-0.2632457
601,0.16744131,-0.32196668,-0.26697403
602,0.16957179,-0.30119464,-0.25099552
603,0.18235458,-0.24839902,-0.21957116
604,0.20792016,-0.15672241,-0.17955834
605,0.23781328,-0.028295252,-0.12736192
606,0.25112867,0.10445941,-0.09214266
607,0.24899822,0.2078536,-0.05965305
608,0.23994374,0.26597536,-0.03675054
609,0.23088926,0.27502984,-0.019174194
610,0.21970432,0.23821273,-0.008455287
611,0.20365924,0.15452537,0.00059919356
612,0.18661551,0.08208952,0.0048601255
613,0.15625636,-0.012250179,0.0139146065
614,0.10133029,-0.10499203,0.016577689
615,0.054460037,-0.16045073,0.017642923
616,0.022969088,-0.18069015,0.014979839
617,-0.011650986,-0.17163567,0.010718907
618,-0.037216578,-0.12583065,0.0139146065
619,-0.052129842,-0.062915325,0.023501704
620,-0.061783515,0.0037283157,0.036817115
621,-0.06551183,0.077229396,0.054393463
622,-0.07030538,0.11617698,0.06238271
623,-0.07882725,0.15452537,0.069306724
624,-0.09161004,0.18175538,0.076763354
625,-0.099066675,0.20998406,0.08002563
626,-0.10918639,0.2339518,0.07569812
627,-0.12942581,0.23608227,0.07303504
628,-0.1555906,0.20572312,0.068774104
629,-0.18701497,0.13961211,0.06504579
630,-0.21630888,0.075631544,0.057589162
631,-0.24779983,0.01065233,0.05492608
632,-0.27815896,-0.029893102,0.05279561
633,-0.29680055,-0.05279561,0.056523927
634,-0.3074529,-0.053860843,0.06025224
635,-0.3175726,-0.04533898,0.06717626
636,-0.33568156,-0.044806365,0.07143719
637,-0.3602485,-0.06664364,0.08162348
638,-0.38474885,-0.106656455,0.08748226
639,-0.41564062,-0.14553747,0.09440628
640,-0.44287062,-0.19613603,0.108254306
641,-0.4519251,-0.21910512,0.11677617
642,-0.45778388,-0.23934455,0.13275467
643,-0.4481968,-0.22656175,0.15832026
644,-0.43328354,-0.18601632,0.18555027
645,-0.41404277,-0.1242328,0.20951802
646,-0.40924922,-0.051197764,0.22656175
647,-0.3964664,0.022369893,0.234551
648,-0.3895424,0.08049167,0.2537252
649,-0.38048792,0.10499203,0.26331228
650,-0.3607811,0.13854687,0.2841509
651,-0.34427,0.15665583,0.29427063
652,-0.33781204,0.14014472,0.29906416
653,-0.34160691,0.08049167,0.28787923
654,-0.34533525,0.034620073,0.27136812
655,-0.3543897,-0.021903854,0.24040978
656,-0.36557466,-0.07569812,0.2057897
657,-0.3799553,-0.11304785,0.17756103
658,-0.39114025,-0.12902635,0.16364643
659,-0.4188363,-0.12316757,0.15139624
660,-0.45991436,-0.11730879,0.143407
661,-0.49773014,-0.121569715,0.13115682
662,-0.5222305,-0.10499203,0.12050448
663,-0.53561246,-0.07196981,0.10239553
664,-0.51796955,-0.057056542,0.114645705
665,-0.50145847,-0.04853468,0.1274285
666,-0.4838821,-0.038414966,0.14393961
667,-0.4801538,-0.0,0.15192886
668,-0.47269717,0.043674555,0.15192886
669,-0.4801538,0.08688307,0.15565717
670,-0.48281687,0.11564436,0.15565717
671,-0.48547995,0.120437905,0.15991811
672,-0.48441473,0.10339418,0.16471165
673,-0.474295,0.05379427,0.16950521
674,-0.46417528,-0.027230019,0.1657769
675,-0.4519251,-0.10232895,0.15512456
676,-0.4450011,-0.16843997,0.1370156
677,-0.41084707,-0.21111587,0.108786926
678,-0.3996621,-0.20845279,0.09653674
679,-0.37356392,-0.1988657,0.08908011
680,-0.34959617,-0.17110306,0.08428656
681,-0.32929015,-0.13754821,0.08375394
682,-0.3021267,-0.09647016,0.09387366
683,-0.28082207,-0.06025224,0.10931954
684,-0.25525647,-0.02563217,0.12529804
685,-0.25525647,-0.02563217,0.12529804
686,-0.21524365,-0.021371238,0.15459195
687,-0.19819991,-0.04107805,0.1657769
688,-0.18115619,-0.058121778,0.1657769
689,-0.17263433,-0.077295974,0.16737475
690,-0.16730817,-0.085817836,0.150331
691,-0.1651777,-0.0751655,0.12955897
692,-0.15665583,-0.058654394,0.10399337
693,-0.15452537,-0.05599131,0.09227581
694,-0.14433907,-0.058121778,0.078361206
695,-0.14061075,-0.07356766,0.06557841
696,-0.14593692,-0.092209235,0.04427375
697,-0.1587863,-0.11038477,0.012316757
698,-0.15772106,-0.11091739,-0.002063889
699,-0.16144937,-0.099133246,-0.024500359
700,-0.13315412,-0.051197764,-0.04740287
701,-0.112382084,-0.034154035,-0.050065953
702,-0.06657706,-0.012849374,-0.054326884
703,-0.039347045,-0.027230019,-0.05965305
704,-0.020705467,-0.045871597,-0.07243585
705,0.0048601255,-0.09540493,-0.08894696
706,0.008588442,-0.11091739,-0.092675276
707,0.025099553,-0.13754821,-0.106057264
708,0.04061201,-0.15672241,-0.11085081
709,0.054992653,-0.16417904,-0.106057264
710,0.079493016,-0.15086363,-0.10119714
711,0.09973244,-0.1178414,-0.10013191
712,0.10452599,-0.09380709,-0.098001435
713,0.11038477,-0.077295974,-0.09587097
714,0.12749508,-0.046404213,-0.091077425
715,0.17702842,0.04260932,-0.06391398
716,0.19087644,0.07350108,-0.060718283
717,0.21757385,0.15825368,-0.043674555
718,0.24367206,0.22969086,-0.029826526
719,0.27349856,0.2899431,-0.027696058
720,0.28628138,0.2894105,-0.029826526
721,0.29640108,0.24087581,-0.0484681
722,0.30978307,0.14866659,-0.07296846
723,0.3236311,0.03675054,-0.106057264
724,0.32416373,-0.06238271,-0.13854687
725,0.31244615,-0.22656175,-0.1976673
726,0.3038577,-0.2638449,-0.21690807
727,0.27456382,-0.2905423,-0.23981059
728,0.25538963,-0.26331228,-0.24886507
729,0.23994374,-0.2057897,-0.23927797
730,0.24260682,-0.13541774,-0.22063638
731,0.25006345,-0.04427375,-0.1875476
732,0.26870504,0.0548595,-0.14653611
733,0.29906416,0.16890602,-0.098001435
734,0.33854437,0.28248647,-0.0516638
735,0.377958,0.38161972,-0.005259588
736,0.40305755,0.42316383,0.024566937
737,0.4110468,0.43381613,0.030958334
738,0.41690558,0.41038102,0.0362845
739,0.4083837,0.37150002,0.019240772
740,0.39340386,0.3027259,-0.00952052
741,0.36943612,0.22010377,-0.060185667
742,0.3305551,0.13162285,-0.11244866
743,0.2905423,0.04740287,-0.15772106
744,0.2649767,-0.006391398,-0.18914545
745,0.23355234,-0.06398056,-0.21424499
746,0.22449785,-0.07250242,-0.21584284
747,0.22396524,-0.051197764,-0.2078536
748,0.24100897,0.009587097,-0.19606945
749,0.27562904,0.09274185,-0.17103648
750,0.3065208,0.18921201,-0.13854687
751,0.3364139,0.3027259,-0.10172975
752,0.3678383,0.40505487,-0.05965305
753,0.38701248,0.4812856,-0.025565593
754,0.38434938,0.51271,-0.007922671
755,0.36624044,0.5068512,-0.00046603946
756,0.34972933,0.4716985,-0.008987904
757,0.33108774,0.4093158,-0.02130466
758,0.32416373,0.337346,-0.044739787
759,0.32150063,0.2702363,-0.061783515
760,0.31457663,0.20998406,-0.08042509
761,0.31510925,0.16144937,-0.09533835
762,0.3091839,0.13961211,-0.10978558
763,0.30225986,0.12310099,-0.12895977
764,0.29107493,0.1039268,-0.13748163
765,0.2841509,0.09647016,-0.13748163
766,0.2809552,0.08049167,-0.13694902
767,0.25965056,0.060185667,-0.14014472
768,0.24100897,0.022369893,-0.14120996
769,0.22503048,-0.05918701,-0.1555906
770,0.22183478,-0.077828586,-0.15665583
771,0.24420467,-0.07995906,-0.15612322
772,0.2772269,-0.027230019,-0.14493828
773,0.29267278,0.012250179,-0.14014472
774,0.3358813,0.16304722,-0.112981275
775,0.36730567,0.28728002,-0.08681649
776,0.37742537,0.33787858,-0.07509893
777,0.37902322,0.38854375,-0.06338137
778,0.3625121,0.40505487,-0.054326884
779,0.3491967,0.35924983,-0.057522584
780,0.33428344,0.29367143,-0.06551183
781,0.3135114,0.23821273,-0.08681649
782,0.29000968,0.15452537,-0.120437905
783,0.25645486,0.077229396,-0.16624293
784,0.24686775,-0.011184947,-0.19933173
785,0.24047635,-0.10126372,-0.2147776
786,0.22769356,-0.20951802,-0.23554966
787,0.2121811,-0.26437753,-0.25525647
788,0.18128935,-0.31717312,-0.27230018
789,0.15146282,-0.34966275,-0.26857188
