,mx,my,mz
51,40.631252,13.200001,29.456251
52,39.881252,15.20625,30.056252
53,39.787502,15.900001,28.425001
54,40.256252,18.28125,27.525002
55,37.912502,20.212502,26.41875
56,37.95,22.650002,25.5375
57,38.90625,24.6,26.250002
58,39.6375,24.225,25.425001
59,37.706253,23.925001,27.281252
60,36.825,24.187502,27.956251
61,38.081253,21.712502,29.118752
62,38.381252,18.825,30.000002
63,39.600002,16.48125,29.868752
64,39.862503,14.00625,31.556252
65,39.16875,13.8,31.10625
66,39.506252,12.150001,32.925003
67,39.862503,13.70625,29.1375
68,39.506252,14.587501,30.4125
69,38.25,15.975,31.06875
70,40.03125,16.275002,28.087502
71,39.487503,18.6375,25.931252
72,39.24375,19.63125,25.25625
73,39.7125,21.88125,24.843752
74,37.7625,23.23125,26.812502
75,37.350002,24.375002,25.181252
76,40.40625,23.71875,26.23125
77,39.16875,20.60625,27.337502
78,38.15625,17.868752,27.6
79,37.74375,17.925001,28.7625
80,39.768753,14.6625,29.118752
81,39.28125,13.9125,30.112501
82,40.725002,12.525001,31.087502
83,38.34375,11.981251,30.525002
84,39.600002,12.243751,30.000002
85,39.9,14.793751,28.781252
86,39.131252,16.800001,29.400002
87,38.98125,18.31875,28.5375
88,38.081253,18.5625,27.2625
89,39.956253,21.0375,25.837502
90,39.46875,21.7875,26.643751
91,38.643753,25.575,23.962502
92,36.862503,25.125002,25.987501
93,37.706253,22.425001,27.487501
94,39.581253,20.85,28.612501
95,38.287502,17.98125,26.94375
96,38.60625,16.462502,29.587502
97,38.25,15.975,31.875002
98,39.16875,13.8,30.281252
99,38.5875,14.025001,31.7625
100,39.300003,13.931251,30.45
101,40.03125,13.406251,28.81875
102,40.65,14.718751,30.862501
103,39.16875,17.737501,28.06875
104,37.575,19.575,28.06875
105,38.625,21.768751,27.6375
106,38.23125,22.7625,26.493752
107,36.80625,25.3875,24.018751
108,36.956253,22.800001,27.16875
109,37.03125,23.325,26.025002
110,38.7,21.075,28.143751
111,38.30625,19.5,29.175001
112,38.1375,16.931252,29.1
113,37.800003,16.0125,29.456251
114,39.6375,13.181251,29.643751
115,39.91875,14.793751,30.393751
116,39.35625,13.51875,32.081253
117,38.79375,13.44375,31.612501
118,38.625,13.593751,30.956251
119,37.818752,17.23125,29.250002
120,38.362503,18.806252,28.706251
121,38.475002,20.41875,26.868752
122,38.100002,21.28125,26.38125
123,37.800003,22.81875,25.687502
124,39.43125,24.7875,25.10625
125,38.268753,22.5,26.831251
126,37.125,22.650002,28.143751
127,38.081253,20.0625,27.712502
128,38.4,18.525002,28.725
129,39.09375,16.0125,31.2
130,37.95,15.8625,29.625002
131,37.800003,14.793751,31.275002
132,38.831253,14.700001,33.675003
133,38.8875,13.9875,32.081253
134,37.95,15.8625,29.2875
135,37.331253,18.13125,31.518751
136,37.40625,18.225,27.618752
137,38.287502,19.5,28.050001
138,38.4,21.112501,26.531252
139,37.74375,23.23125,24.862501
140,36.80625,25.81875,27.2625
141,35.756252,23.643751,28.331251
142,36.768753,23.362501,27.337502
143,36.581253,20.94375,28.218752
144,37.912502,19.143751,29.04375
145,38.9625,15.88125,31.050001
146,37.10625,16.125,31.575
147,38.79375,14.6625,30.431252
148,39.075,11.90625,31.800001
149,38.90625,13.575001,31.275002
150,38.737503,13.856251,30.7875
151,39.6375,16.06875,29.8875
152,40.0875,15.8625,29.23125
153,38.25,18.393751,26.94375
154,39.05625,21.712502,27.300001
155,39.393753,22.48125,25.48125
156,38.11875,23.868752,25.650002
157,37.800003,24.0375,25.0125
158,36.768753,23.362501,27.656252
159,38.4375,21.900002,24.243752
160,38.86875,19.275002,27.712502
161,40.725002,16.462502,29.19375
162,38.287502,15.262501,29.456251
163,38.79375,14.6625,30.91875
164,40.74375,12.093751,30.300001
165,39.46875,12.13125,30.487501
166,40.612503,13.63125,31.06875
167,38.49375,14.700001,29.643751
168,37.8375,15.6,29.1375
169,38.30625,17.98125,28.25625
170,38.662502,19.837502,26.718752
171,39.09375,21.300001,26.5125
172,38.568752,23.681252,27.431252
173,38.193752,24.393751,24.16875
174,37.55625,23.8125,26.643751
175,36.881252,23.19375,24.243752
176,38.9625,19.81875,28.331251
177,39.45,19.35,28.331251
178,38.9625,17.1,29.550001
179,38.9625,17.38125,31.1625
180,37.29375,14.025001,30.337502
181,39.131252,11.493751,32.1375
182,37.818752,14.38125,30.468752
183,37.21875,14.718751,30.31875
184,39.018753,15.187501,30.2625
185,39.24375,17.34375,30.35625
186,37.4625,19.48125,29.85
187,38.0625,21.712502,27.993752
188,37.8375,22.556252,27.31875
189,36.393753,24.243752,27.956251
190,37.7625,24.750002,27.4125
191,36.9,25.931252,24.656252
192,37.85625,23.775002,27.937502
193,36.09375,23.04375,28.1625
194,36.80625,20.081251,28.3875
195,36.825,18.581251,29.081251
196,37.518753,16.06875,31.087502
197,39.75,15.093751,31.050001
198,38.287502,12.675,30.50625
199,39.15,14.1,32.23125
200,37.65,14.6625,30.31875
