,ax,ay,az
501,3.0107691,1.9698912,-4.3378882
502,4.124628,4.738985,-8.108378
503,3.5234313,7.960921,-7.9624166
504,1.7769699,11.436795,-7.7036924
505,0.9529416,12.236895,-15.098412
506,-0.05802595,12.287145,-25.281666
507,-0.9825528,12.711272,-16.873587
508,-0.7645068,11.8848505,-11.823834
509,-0.26650062,6.9619174,-7.54786
510,-0.6903293,4.202395,-5.873482
511,-1.3181462,0.846461,-4.6492543
512,-2.161317,-0.5096712,-3.013162
513,-2.4918256,-1.719243,-1.6070795
514,-2.8462625,-2.5839493,1.1739786
515,-3.8931224,-8.896215,76.08369
516,-1.698904,-15.761522,56.01179
517,-1.1096715,-23.750559,18.97987
518,11.936296,-11.073684,-22.479073
519,0.98644114,-7.9833536,-17.38625
520,-2.2235305,-6.3568325,-4.4339004
521,-7.450352,-13.550554,-4.0624146
522,-16.371393,-30.407692,-8.381459
523,-22.70968,-50.44369,-24.069702
524,-8.26481,-28.747671,-7.1048884
525,1.2738789,-15.634703,-7.9648094
526,1.721935,-13.454842,-10.47518
527,-0.46749774,-15.931712,-11.673086
528,-0.52522457,-17.848064,-15.733407
529,-0.65922266,-20.037497,-19.707586
530,6.2494545,-22.167109,-12.880265
531,13.864613,-25.765316,-13.287643
532,19.549063,-30.50849,-11.821441
533,14.1568365,-32.05096,-12.19532
534,9.442677,-37.32833,-9.675079
535,8.311769,-40.55266,18.991833
536,3.3293135,-30.3718,70.21469
537,-8.013563,-13.596018,59.351273
538,-23.234308,-13.205689,28.36781
539,-20.932413,-7.880462,5.500501
540,-14.210674,-3.6690943,3.191128
541,0.3493521,-2.3754747,17.580965
542,5.933303,-3.6643088,15.808183
543,9.909575,-6.2467628,13.997115
544,12.041581,-6.460023,14.605789
545,12.983156,-5.496912,9.812367
546,11.375778,-5.9234324,-1.1327025
547,7.5287175,-5.575875,-5.1475596
548,4.3594236,-3.9134614,-3.7247276
549,1.4081762,-1.774278,-3.025126
550,0.6750751,-0.49501517,-2.9940193
551,0.3062813,1.0594223,-4.301996
552,-0.3574279,1.6824534,-3.7821553
553,-0.6233303,1.7590238,-1.7003996
