,gx,gy,gz
501,-0.6784203,-1.6256788,0.60445315
502,-1.504575,-3.5268533,1.0138355
503,-1.848379,-6.794722,2.6202736
504,-2.0620914,-7.246181,3.9927597
505,-1.0382028,-4.174981,3.173529
506,-0.105990686,0.5238949,1.9961135
507,-0.68960524,3.452753,1.5638952
508,-2.7176757,5.8166385,1.5350673
509,-5.3778954,7.4971766,0.8037849
510,-7.776401,8.854151,-0.88048166
511,-9.468657,8.220936,-1.8777395
512,-11.357115,1.1475223,-1.6863971
513,-10.702064,-9.919184,-1.788726
514,-7.864349,-14.74389,-1.6612974
515,-2.7272627,-14.446424,-2.349438
516,-1.8627597,-8.698027,-2.422473
517,-1.8324006,0.8394702,-1.0878026
518,-2.4623528,4.5768404,0.19780046
519,-2.0658197,4.806065,1.4609671
520,-0.80744666,3.6195953,1.3735514
521,1.0735551,1.6170903,1.0686951
522,2.4166808,-0.41950208,0.8144372
523,3.1698005,-2.465149,0.52502674
524,3.210346,-3.7321105,0.09547151
525,2.8745313,-4.016195,-0.38960898
526,2.4625525,-2.8899772,-0.82395774
527,2.427333,-1.45138,-0.99399555
528,2.5963058,-0.5426031,-0.9758866
529,2.706624,0.9945282,-0.87568814
530,2.444976,2.2897184,-0.7434661
531,2.1395206,3.4330463,-0.65445256
532,1.8666211,4.340758,-0.54786265
533,1.9417866,4.6733103,-0.41517457
534,2.4748027,4.5374265,-0.24886507
535,3.5983572,3.8930273,0.056523927
536,4.5950823,3.5422993,0.39287126
537,6.178618,3.6792483,0.83154756
538,6.8757463,3.9910953,0.956779
539,8.672528,0.47968775,0.35445628
540,6.883802,-3.281184,-0.96150595
541,2.8351176,-5.347603,-2.399504
542,2.4513674,-4.656866,-1.084607
543,2.8990316,-1.8212821,0.023501704
544,3.8723218,5.058126,-0.5329494
545,5.86737,11.219101,-0.29793236
546,5.9936666,12.082539,0.08908011
547,4.1985493,8.441639,-1.0264852
548,3.1794543,6.3139024,-1.3117013
549,2.3356566,4.672245,-0.79999
550,1.7552377,5.268709,-0.36344418
551,1.3069743,4.8982744,0.014979839
552,1.054381,3.2299862,-0.23927797
553,0.82515615,2.1501062,-0.6299522
554,0.11837402,0.8218939,-0.99293035
555,-0.43002126,-0.098068014,-1.0067784
556,-2.02108,-1.675212,-1.077683
557,-3.6883028,-4.408467,-1.3873329
558,-4.3049397,-6.0202312,-1.6138946
559,-4.845945,-8.037649,-1.8398572
560,-4.987754,-8.607948,-1.8366615
561,-5.1326923,-9.147356,-1.494522
562,-4.829966,-9.142562,-1.0707589
563,-4.2527432,-8.767334,-0.5430691
564,-3.6387029,-7.677867,0.061317477
565,-1.8019748,-4.3082685,0.38275155
566,3.0051556,2.8776605,0.10931954
567,6.7425256,3.225126,0.7318817
568,2.2125556,-0.43548056,1.3266811
569,-0.21098271,-1.4322058,0.98234457
570,-1.4326053,-2.2092934,1.0266184
571,-2.4357219,-4.1851673,1.5318717
572,-2.005634,-5.674363,2.323939
573,-1.3947895,-6.4615703,3.333447
574,0.37582752,-1.4940559,3.1271248
575,-0.2136458,2.8606167,2.495042
576,-2.1212785,6.745122,2.3479068
577,-3.5886369,8.825389,2.140053
578,-5.6337514,9.522052,1.0991207
579,-7.305235,8.401626,-1.4529113
580,-7.981591,6.9487147,-2.6931753
581,-8.596697,4.2096014,-3.283248
582,-9.596618,-1.5345347,-2.817408
583,-10.882154,-9.8199835,-2.6718707
584,-6.8180904,-17.156776,-1.3756152
585,-2.4698758,-8.019008,-1.4443895
586,-1.298852,-0.038414966,-1.3393974
587,-1.4326053,3.24703,-0.11724221
588,-1.0137024,2.77906,1.2488526
589,0.2260957,1.8676198,1.4077054
590,1.6347998,0.74939144,1.2712225
591,2.3383195,-0.651856,1.2152977
592,2.8686726,-2.6815245,0.9013203
593,3.0014272,-4.2320375,0.16258119
594,2.8073552,-4.3482146,-0.48927483
595,2.572338,-3.7928288,-0.88527524
596,2.586186,-2.342048,-1.084607
597,2.656558,-0.3480649,-1.119227
598,2.5963058,1.5371313,-1.0473238
599,2.4305289,3.2235284,-0.95404935
600,2.2104251,4.526242,-0.8447298
601,2.136325,5.325166,-0.7344116
602,2.3751369,5.61724,-0.5537214
603,2.8724008,5.5527935,-0.2754959
604,4.3227158,4.79002,0.33208638
605,5.5528603,4.189894,0.7051843
606,6.438202,4.1291094,1.0085094
607,7.384262,3.5497558,1.0425968
608,7.4631557,-1.7477145,-0.28987655
609,3.6458266,-4.965451,-1.5105004
610,2.8090196,-5.502195,-1.2098384
611,3.3142729,-5.497934,-0.58414716
612,3.20502,-1.6459181,-0.35332447
613,3.8558106,5.186087,-0.68434566
614,6.182879,12.308568,0.3480649
615,5.6179056,10.711118,0.16737475
616,3.8909633,6.9284754,-0.943397
617,3.037645,4.885425,-0.8362079
618,2.2541661,5.3432755,-0.40185916
619,1.8842641,6.26377,-0.1491992
620,1.4525118,5.0165815,-0.025032977
621,1.2430604,3.5130053,-0.36344418
622,0.8731582,2.853626,-0.6608439
623,0.47815648,2.143715,-0.6795521
624,-0.6922683,0.16837339,-0.7701635
625,-2.159094,-1.6864636,-1.0542479
626,-3.111013,-3.9586058,-1.4433242
627,-3.703216,-6.0927334,-1.7540393
628,-4.073651,-7.414022,-1.9022399
629,-4.23996,-7.9156137,-1.8073676
630,-4.236232,-8.050432,-1.5275441
631,-4.076314,-8.234851,-1.0078436
632,-3.7261186,-7.9363856,-0.43647924
