,mx,my,mz
51,-7.5750003,49.8375,-21.112501
52,0.63750005,57.225002,3.075
53,1.66875,54.99375,11.55
54,-1.5375,53.8875,-4.3875003
55,-3.61875,44.756252,-29.531252
56,15.937501,33.28125,-34.987503
57,-3.61875,46.706253,-25.368752
58,-3.6375,47.1375,-23.75625
59,0.0375,56.23125,5.0625
60,3.35625,56.268753,8.53125
61,-0.39375,53.5875,-6.675
62,-2.53125,43.95,-28.237501
63,16.087502,34.78125,-33.075
64,-7.18125,47.175003,-22.837502
65,-6.7500005,50.287502,-18.88125
66,1.85625,56.7,6.61875
67,2.04375,56.850002,10.5
68,-4.18125,53.100002,-6.5437503
69,-3.8812501,46.4625,-26.156252
70,15.618751,35.25,-33.5625
71,-1.6500001,45.506252,-26.19375
72,-4.70625,47.9625,-22.612501
73,1.1437501,56.49375,3.4125001
74,2.6625001,56.381252,11.793751
75,-3.73125,54.562504,-4.0125003
76,-5.25,48.956253,-24.900002
77,15.58125,37.162502,-33.131252
78,-2.9625,47.025,-27.018751
79,-9.65625,49.10625,-23.79375
80,3.525,56.1375,-2.6625001
81,-0.675,55.8375,13.368751
82,-2.3625002,55.818752,1.5937501
83,2.0062501,46.162502,-23.737501
84,16.59375,35.53125,-33.28125
85,7.2000003,43.443752,-27.393751
86,-1.66875,45.506252,-26.531252
87,3.825,51.768753,-13.725
88,-2.1000001,55.725002,11.475
89,-0.50625,55.725002,2.5125
90,3.9,50.04375,-22.125
91,11.681251,39.581253,-30.337502
92,9.65625,42.84375,-29.868752
93,-2.04375,46.350002,-27.187502
94,-1.8375001,52.706253,-16.987501
95,-4.3125,55.050003,11.71875
96,-0.675,57.525,2.4562502
97,2.4562502,52.162502,-19.050001
98,11.08125,39.487503,-33.393753
99,12.50625,39.75,-29.868752
100,-5.025,46.612503,-25.650002
101,2.4750001,50.531254,-18.35625
102,-0.73125005,54.600002,10.81875
103,0.73125005,54.9,2.98125
104,2.6437502,50.381252,-18.206251
105,9.450001,40.237503,-33.206253
106,14.625001,38.25,-32.006252
107,-5.3812504,44.30625,-27.018751
108,-2.6437502,50.325,-20.1375
109,-0.0375,56.1375,9.3
110,1.9687501,55.29375,4.21875
111,-0.075,52.66875,-12.01875
112,7.0875,39.581253,-32.943752
113,17.325,36.956253,-31.556252
114,-5.7937503,47.4,-22.556252
115,-2.71875,51.300003,-18.88125
116,-0.1875,56.30625,9.450001
117,1.66875,54.693752,8.64375
118,0.46875003,52.10625,-6.99375
119,4.5750003,42.225002,-30.993752
120,18.112501,36.1875,-31.556252
121,-6.7875004,47.53125,-22.050001
122,-3.3375,49.968754,-22.875
123,0.75,55.36875,9.7875
124,3.1125002,54.525,9.4125
125,-0.63750005,54.412502,-8.475
126,1.5375,44.381252,-30.150002
127,17.94375,33.61875,-30.35625
128,-5.11875,46.068752,-26.268751
129,-1.8000001,51.562504,-22.48125
130,-2.1375,56.006252,10.9875
131,1.9687501,56.025,9.39375
132,0.65625,54.54375,-6.2625003
133,4.6687503,42.768753,-31.66875
134,21.393751,34.256252,-34.2
135,-5.7375,48.206253,-23.8875
136,-2.1937501,46.96875,-22.650002
137,0.58125,56.718754,6.5062504
138,2.7375002,55.237503,8.587501
139,-2.79375,55.125004,-5.1937504
140,-3.0937502,42.375,-28.987501
141,16.125,34.350002,-33.7125
142,-9.356251,47.86875,-20.362501
143,-5.8500004,48.112503,-22.087502
144,1.1437501,56.79375,7.1250005
145,0.65625,56.325,10.06875
146,-0.71250004,54.037502,-5.0625
147,-1.9125,45.2625,-26.343752
148,17.25,34.631252,-33.43125
149,-2.68125,44.550003,-24.843752
150,-8.606251,47.0625,-23.60625
151,2.1750002,55.65,-0.975
152,2.2125,55.2,12.0
153,-3.6750002,55.818752,-1.29375
154,1.2375001,47.8875,-25.06875
155,18.6375,35.15625,-31.875002
156,5.8500004,42.6375,-28.95
157,-5.2125,45.525,-26.1
158,4.8562503,53.456253,-9.431251
159,-0.16875,53.737503,13.743751
160,-0.28125,56.23125,1.1812501
161,8.231251,49.818752,-18.525002
162,16.237501,37.78125,-32.362503
163,8.25,42.600002,-29.831251
164,-0.056250002,46.66875,-25.800001
165,4.4812503,54.318752,-9.9375
166,-0.93750006,54.525,15.8625
167,-0.52500004,56.156254,4.6125
168,5.8125,49.8375,-18.45
169,14.887501,36.975002,-33.43125
170,11.75625,40.125,-30.187502
171,-2.2687502,46.912502,-29.79375
172,1.8937501,51.187504,-13.81875
173,-2.1750002,56.41875,12.1125
174,-0.75,55.500004,3.3375
175,3.05625,51.05625,-12.712501
176,9.262501,39.318752,-32.5125
177,13.556251,39.206253,-30.69375
178,-4.4812503,45.45,-25.29375
179,-0.26250002,51.000004,-17.8125
180,-2.2125,55.48125,12.7875
181,1.21875,56.100002,7.4625
182,2.1000001,51.975002,-14.00625
183,7.70625,39.09375,-32.625
184,13.575001,37.275,-32.4375
185,-6.3375,43.74375,-27.7875
186,-0.375,52.10625,-17.831251
187,0.16875,55.575,10.762501
188,0.63750005,55.575,0.52500004
189,1.8937501,51.187504,-14.962501
190,10.14375,35.925003,-33.412502
191,11.4375,38.775,-32.568752
192,-6.6000004,45.0,-27.16875
193,1.4250001,51.35625,-16.087502
194,0.112500004,54.768753,10.950001
195,0.01875,54.99375,4.6125
196,3.3000002,51.281254,-14.19375
197,8.08125,39.73125,-32.662502
198,11.587501,40.256252,-31.968752
199,-4.2000003,45.112503,-28.5375
200,-3.3187501,51.656254,-19.03125
201,-0.65625,56.775,9.9375
202,0.0,54.99375,3.0
203,0.26250002,53.437504,-13.031251
204,7.5750003,37.3125,-34.6875
205,15.937501,36.43125,-33.45
206,-6.7125,43.0875,-28.575
207,-4.3500004,52.050003,-19.0125
208,-2.68125,56.718754,7.4062505
209,2.1750002,54.73125,4.0687504
210,1.85625,51.9,-11.400001
211,3.45,40.443752,-33.1875
212,15.6,35.23125,-36.0
213,-9.637501,44.15625,-26.400002
214,-4.9875,48.131252,-21.46875
215,-2.6437502,56.456253,7.74375
216,1.6500001,55.912502,6.4875
217,0.3375,52.7625,-11.868751
218,2.90625,38.71875,-34.256252
219,15.58125,32.643753,-34.95
220,-8.34375,45.787502,-24.225
221,-6.80625,49.031254,-22.25625
222,-0.65625,53.60625,8.418751
223,3.525,54.45,7.4437504
224,0.93750006,54.05625,-11.118751
225,3.0187502,40.631252,-33.018753
226,19.800001,33.225002,-33.80625
227,-5.1000004,47.5875,-23.400002
228,-3.8437502,51.16875,-18.50625
229,1.1437501,56.79375,6.3187504
230,3.6750002,54.600002,10.51875
231,0.13125001,54.35625,-4.125
232,-2.1000001,43.893753,-29.062502
233,12.7875,34.893753,-35.90625
234,-4.40625,47.49375,-25.368752
235,-1.575,49.800003,-18.862501
236,2.8500001,57.018753,9.01875
237,8.56875,53.831253,8.118751
238,1.0500001,56.41875,-5.34375
239,1.4250001,42.6375,-29.456251
240,13.312501,37.03125,-33.54375
241,-7.55625,47.8875,-23.98125
242,-5.7000003,50.812504,-22.181252
243,0.0375,56.662502,8.306251
244,4.36875,54.487503,8.0625
245,-0.15,54.093754,-6.3750005
246,0.09375,41.68125,-30.843752
247,18.225,33.28125,-34.40625
248,-3.9750001,47.4375,-24.88125
249,-6.01875,50.193752,-19.3875
250,1.3875,54.750004,10.25625
251,3.7687502,56.343754,9.168751
252,0.24375,54.91875,-1.8750001
253,-1.9312501,45.2625,-26.6625
254,16.518751,34.725002,-33.09375
255,-1.3125,45.05625,-24.900002
256,-6.3187504,49.781254,-23.41875
257,0.76875,57.656254,5.6625004
258,3.6375,55.312504,12.76875
259,0.112500004,56.30625,-1.4250001
260,-3.1125002,45.675003,-26.962502
261,18.9375,33.1875,-34.10625
262,-4.0687504,48.562504,-23.456251
263,-4.5750003,49.593754,-22.181252
264,0.99375004,58.162502,5.4750004
265,0.975,56.325,12.50625
266,-1.575,54.600002,-1.1625
267,-5.6625004,47.081253,-27.4125
268,16.837502,32.756252,-34.8375
269,-5.7000003,44.775,-25.406252
270,-4.59375,48.506252,-21.16875
271,1.725,54.300003,10.743751
272,3.3937502,55.8375,7.89375
273,-4.425,53.925003,-9.168751
274,-1.9687501,44.006252,-29.718752
275,15.262501,33.09375,-33.65625
276,-6.525,48.99375,-23.550001
277,-4.6875,49.48125,-20.38125
278,1.9875001,56.5125,2.8875
279,2.8875,55.3875,10.856251
280,-1.3687501,55.237503,-3.3000002
281,-4.3125,46.518753,-25.331251
282,13.63125,35.0625,-35.287502
283,-5.08125,46.0875,-21.900002
284,-9.4125,49.781254,-21.056252
285,-0.99375004,56.325,1.85625
286,4.3875003,54.937504,12.431251
287,-0.61875004,53.362503,-2.60625
288,-3.0375001,46.48125,-26.343752
289,16.237501,33.24375,-34.5
290,-6.6000004,46.96875,-22.6875
291,-3.24375,49.29375,-20.737501
292,1.29375,56.925003,7.6125
293,2.0812502,54.91875,9.431251
294,-1.35,54.956253,-3.61875
295,-2.4,45.5625,-28.612501
296,16.59375,34.03125,-33.075
297,-7.1250005,46.4625,-23.94375
298,-4.65,49.218754,-19.237501
299,0.76875,57.6375,5.175
300,1.4625001,55.575,12.01875
