,ax,ay,az
501,5.521139,-1.9444675,-4.503292
502,2.5818555,-0.052043892,-3.5162528
503,0.94337034,1.5433706,-4.249354
504,0.96729857,3.4692938,-4.7285166
505,1.410569,4.8828535,-4.505685
506,1.1685947,5.608477,-4.306782
507,3.3628132,4.8732824,-8.223534
508,2.5268207,3.5389848,-9.399606
509,0.5240282,2.5926232,-9.207881
510,-1.8233309,-0.07597212,-2.876771
511,-3.2177482,-2.754139,3.612863
512,-5.378467,-6.45763,18.011972
513,-8.940483,-12.570992,31.13451
514,-13.333705,-17.840885,22.134806
515,-13.487144,-20.037497,16.455143
516,-13.352848,-22.095324,11.716755
517,-9.477073,-22.21048,6.4609203
518,-6.365207,-15.404693,5.1960144
519,-5.4813585,-9.008678,6.8132634
520,-5.960521,-6.443273,3.39721
521,-0.7935198,-1.8388842,-7.5287175
522,-2.6425736,0.4941179,-12.417852
523,-9.987343,-2.6703901,-10.113564
524,-14.790336,-7.731808,-1.8753748
525,-23.485853,-24.78067,26.561527
526,-18.342781,-36.79174,-6.695118
527,1.1470593,-22.462025,-25.468607
528,6.1510496,-11.873784,-15.158531
529,0.04755735,-9.499805,-8.635398
530,-1.2484552,-7.602596,-2.8719854
531,-0.7405786,-6.2659054,-0.7375876
532,-0.20877378,-4.867001,-3.2766714
533,2.1122642,-4.119543,-3.8467615
534,3.6143587,-6.443273,-7.140781
535,2.1747768,-10.980364,-7.128817
536,-1.5669997,-14.6333065,-2.9653056
537,-2.4487548,-15.960426,-3.1570303
538,1.0462617,-15.1962185,-3.4325042
539,5.3270216,-13.068999,-5.0183473
540,4.9486566,-11.408978,-5.087739
541,4.3522453,-9.650852,-4.0384865
542,3.9831524,-8.124829,-3.312564
543,3.4561331,-6.6275206,-3.2312078
544,2.8932216,-5.020142,-3.4444683
545,2.0668006,-4.5218368,-4.7691946
546,0.99601245,-7.3438716,0.22791636
547,1.9734805,-11.131112,4.2044883
548,3.5353954,-11.797214,9.349955
549,4.1222353,-10.5682,11.999408
550,3.7941194,-6.855138,9.402596
551,2.8597221,-4.694419,2.3383858
552,0.19591236,-4.8933225,1.2699906
553,-5.323133,-8.409874,1.9645073
554,-11.472388,-11.536098,8.207381
555,-7.903194,-11.866606,9.613464
556,-1.7252251,-12.175579,6.753144
557,1.1446666,-14.851353,2.9946175
558,-0.6448657,-16.791634,0.939482
559,-1.3731811,-16.080366,0.86261255
560,-3.8907297,-14.228621,1.7898313
561,-1.428216,-12.32184,-0.40438703
562,2.9386854,-12.901502,0.5297111
563,5.509175,-14.94228,0.45074797
564,8.376674,-16.590635,-0.016450657
565,9.775578,-16.528124,1.0902299
566,7.494919,-14.597415,3.2820554
567,4.965406,-13.165011,5.476573
568,2.2537398,-13.088441,8.442178
569,1.0271192,-13.013964,8.810971
570,0.89072824,-14.084752,7.998907
571,1.6043876,-15.328123,3.5096726
572,3.499204,-16.001104,-1.9447666
573,3.906582,-16.077974,-5.061418
574,4.0767717,-15.641882,-6.6424756
575,2.4212375,-14.839389,-6.2063837
576,0.3804588,-15.145969,-5.3967123
577,-0.9562318,-15.51267,-5.0590253
