,gx,gy,gz
501,0.6935333,0.9529841,1.9918526
502,0.95251805,0.8943297,0.3224993
503,1.6347998,0.63587755,-0.13428594
504,2.2487736,0.48288345,0.38701248
505,2.4294636,-0.47709125,1.0223573
506,1.4034445,-1.4258144,1.3383987
507,0.37529492,-0.4893414,1.2835392
508,0.62422657,0.7077808,1.0841409
509,0.7015225,0.29207358,1.3176267
510,-0.53507984,-0.606051,1.6033088
511,-1.2727537,-1.1139674,1.4423255
512,-1.6708846,-1.4860001,1.2009171
513,-1.8776729,-1.882067,0.9828772
514,-2.1713443,-2.7817228,0.7691648
515,-2.7672756,-3.9452903,0.2969337
516,-4.140827,-5.2740355,-0.9321455
517,-5.469572,-4.8535347,-1.670352
518,-6.1267543,-3.930377,-1.5979161
519,-5.9673686,-2.721537,-0.9780171
520,-4.5682516,-1.6389942,-0.5878755
521,-2.5119526,-0.59806174,-0.3352155
522,-1.7391261,0.21957116,-0.14067733
523,-2.3078272,0.97854966,0.032023568
524,-2.8520284,1.408704,0.10133029
525,-3.6307137,1.8575001,0.10985216
526,-4.3161244,2.319079,0.08055825
527,-4.87424,2.621272,0.034154035
528,-5.36458,0.8682315,-0.047935486
529,-5.575629,-3.5167336,-0.16784078
530,-5.1785636,-5.6343503,-0.27709374
531,-4.513925,-6.0378737,-0.36291158
532,-3.317868,-4.8439474,-0.49247053
533,-2.8584197,-2.9299235,-0.4972641
534,-3.0955672,-0.17642923,-0.5820167
535,-3.5496893,2.7102857,-0.42848998
536,-3.8305779,3.8705907,0.10505861
537,-3.6930964,2.499769,0.7414688
538,-2.1676161,0.4380771,1.159839
539,-1.2609696,-1.3756819,1.0553796
540,-0.69120306,-2.1293342,0.93281126
541,-0.7248245,-1.4109012,0.96476823
542,-0.8809477,-1.2680267,0.8880049
543,-0.41351014,-2.0845945,0.77023005
544,0.16797394,-2.7497659,0.6987929
545,0.5405392,-2.6644807,0.6881405
546,0.63008535,-2.215152,0.65618354
547,0.5703657,-1.1289473,0.34966275
548,0.507517,-0.12849373,-0.061783515
549,0.665238,0.6710302,-0.4194355
550,1.065566,1.2333401,-0.74293345
551,1.7765424,1.4726846,-0.9262867
552,2.8265958,1.2989185,-0.9310802
553,3.649555,0.88687307,-0.8714272
554,4.729901,0.7552502,-0.9513863
555,5.1664467,1.2764821,-0.9716257
556,5.0603895,1.4012475,-1.2045122
557,4.7123246,1.2136333,-1.536066
558,4.333368,1.2312096,-1.9566333
559,4.28004,1.5520445,-2.0391889
560,4.258735,2.7592864,-1.9325991
561,4.121786,3.8471556,-1.547251
562,3.887235,4.3988132,-1.0531826
563,3.8008845,4.0678587,-0.56870127
564,4.0402293,2.4522996,-0.30432376
565,4.062599,0.018641578,-0.029826526
566,3.7444272,-2.0227444,0.21803989
567,2.735452,-2.9533587,0.38594723
568,1.0308793,-0.6225621,0.13275467
569,0.35771856,0.36670646,-0.06497922
570,1.0255531,-0.5863442,0.1988657
571,1.6300063,0.5660382,0.29000968
572,2.5552943,1.0462586,0.5276898
573,3.1405067,1.1581746,0.3001294
574,3.2940333,0.51856875,-0.3027259
575,2.7801917,-0.004260932,-0.63847405
576,2.1859248,0.115111746,-0.6832804
577,1.4205548,0.6955306,-0.5921364
578,0.9509202,1.6011118,-0.43647924
579,0.8960607,2.3185463,-0.3740965
580,1.1689601,3.5897021,-0.2563217
581,1.3379327,4.556601,-0.07296846
582,0.2644441,4.8374896,-0.1976673
583,-1.2407302,4.27731,-0.7067155
584,-2.2982402,3.158549,-1.1821424
585,-2.780591,1.5035764,-1.4710202
586,-2.6036294,0.59799516,-1.4011809
587,-1.5424575,-0.4173716,-1.0931288
588,0.6162373,-1.7781402,-0.30432376
589,1.2174282,-1.7765424,1.1891329
590,0.73880565,-1.0484556,2.253567
591,-0.045205828,0.5617773,1.5979826
592,0.47389555,1.6032423,0.1962026
593,1.0303466,1.6288079,-0.07350108
594,1.3138983,1.4737499,0.070904575
595,1.6049733,0.870362,0.09067796
596,1.4317398,0.09860063,0.30865127
597,0.94612664,-0.2899431,0.5143744
598,0.2836183,-0.7553168,0.6055184
599,-0.53401464,-0.9578442,0.683347
600,-0.30052885,-1.0889344,0.6087141
601,0.2356828,-2.561619,0.6865427
602,-0.28135467,-3.073863,0.99139905
603,-0.7637055,-2.2951112,1.0180964
604,-1.0936614,-1.6907245,0.87468946
605,-1.3937242,-1.2930597,0.7051843
606,-1.7508436,-1.2541788,0.51277655
607,-2.878659,-1.9145566,-0.34213954
608,-5.1241703,-2.6953723,-1.7103648
609,-6.1981916,-1.9652218,-1.7722149
610,-6.1987243,-0.6705642,-1.2615688
611,-4.816651,0.26810583,-0.72695494
612,-2.5631504,0.7616416,0.023501704
613,-0.8047835,0.9188966,0.5474632
614,-0.7993908,0.708846,0.47123244
615,-1.438464,0.5175035,0.3950017
616,-1.943784,0.68381304,0.3678383
617,-2.6894472,1.0952593,0.30758604
618,-3.229387,1.4907936,0.1962026
619,-3.5672657,1.777541,0.05279561
620,-3.9707892,1.76103,-0.35012877
621,-4.3321695,0.5116447,-1.1112378
622,-4.624776,-1.4284775,-1.7487131
623,-4.605069,-3.2198665,-1.7396587
624,-4.4217157,-4.5603957,-1.3921264
625,-4.043824,-5.004864,-0.88687307
626,-3.4356427,-4.3855643,-0.3410743
627,-2.7491667,-2.0888553,0.035219267
628,-2.3931127,0.93647295,0.08908011
629,-2.482126,2.570607,0.3614469
630,-2.723002,2.470941,0.6849448
631,-2.3429801,1.42415,0.77662146
632,-1.3095043,-0.37576094,0.7680996
633,-0.6080483,-2.0072985,0.7073147
634,-0.46311006,-2.6426435,0.72116274
635,-0.35172662,-2.8265293,0.8005892
636,-0.032955647,-2.7972353,0.7851433
637,0.4754934,-2.4268005,0.82036257
638,0.61463946,-2.1240082,0.7067821
639,0.56770265,-1.7898577,0.4040562
640,0.48135218,-0.98074675,0.068774104
641,0.6742925,0.054326884,-0.2595174
642,1.1294799,0.7834789,-0.50631857
643,1.7248785,1.1134348,-0.6597787
644,2.510488,1.1097065,-0.7402704
645,3.4736583,0.78827244,-0.761109
646,4.204408,0.37576094,-0.8260882
647,4.486362,0.027163442,-0.9513863
648,4.5993433,0.27769294,-1.1202923
649,4.5326996,0.6598453,-1.2663623
650,4.4266424,1.1416636,-1.4651614
651,4.325379,1.7466493,-1.6069705
652,4.2720504,2.3409162,-1.6181556
653,3.8216567,2.8627472,-1.2402642
654,3.499224,3.3307173,-0.8671663
655,3.5311809,3.6648676,-0.44926202
656,3.6767185,2.3888516,-0.20572312
657,3.7449598,0.7904029,-0.06657706
658,3.6671312,-1.7749445,0.0362845
659,3.0195363,-3.1409726,0.09067796
660,1.5585691,-1.4497821,0.027762637
661,0.63115054,0.592669,0.12583065
662,1.132143,-0.077828586,0.27562904
663,1.7802707,0.5505923,0.3038577
664,2.4315941,1.3473866,0.6193664
665,2.891575,1.5174245,0.61244243
666,3.0573518,0.79146814,0.22549652
667,2.6240685,0.20306005,-0.25845218
668,1.8064355,0.14174257,-0.6171694
669,1.2675607,0.51856875,-0.6673019
670,0.7132401,1.7812693,-0.7627068
671,0.6151721,2.4864535,-0.74879223
672,0.7340121,3.5353754,-0.5643738
673,0.7382731,4.179242,-0.39493513
674,0.003262276,4.4856963,-0.34640047
675,-0.9523849,4.230906,-0.5132426
676,-2.0961788,3.4010227,-0.93321073
677,-2.6606858,2.4576256,-1.182675
678,-2.7704713,0.7967943,-1.4300088
679,-1.6255456,-0.3981974,-1.1704248
680,0.612509,-1.469489,-0.4061201
681,1.4615663,-1.0878692,0.94026786
682,1.5340687,-0.55591846,1.8714147
