,mx,my,mz
51,6.4875,41.5875,-30.712502
52,13.743751,40.0125,-31.218752
53,17.90625,36.768753,-30.91875
54,6.6000004,42.131252,-29.75625
55,2.9437501,50.193752,-18.35625
56,0.8625,55.95,0.01875
57,1.7812501,54.80625,8.45625
58,1.81875,57.112503,6.2812505
59,-2.625,52.575,-11.45625
60,3.7125,44.1375,-27.937502
61,9.243751,37.800003,-34.74375
62,12.843751,39.318752,-29.38125
63,8.26875,41.11875,-28.331251
64,2.71875,49.237503,-21.73125
65,2.7375002,55.275,-3.9
66,1.9687501,56.04375,9.88125
67,1.9125,56.437504,8.25
68,0.675,53.831253,-10.293751
69,4.8187504,47.71875,-24.35625
70,8.26875,39.45,-31.687502
71,11.8125,42.581253,-28.63125
72,14.55,39.225002,-30.4125
73,6.2250004,44.79375,-26.737501
74,5.7375,52.781254,-11.55
75,-0.675,56.025,2.34375
76,5.26875,55.48125,8.00625
77,2.2875001,54.825,1.8000001
78,1.03125,50.7,-19.125
79,6.8437505,40.85625,-31.031252
80,16.556252,36.24375,-30.375002
81,18.487501,36.825,-30.300001
82,10.725,39.16875,-28.987501
83,2.4,49.706253,-20.60625
84,2.9250002,56.643753,-1.2
85,3.45,55.143753,8.25
86,3.16875,55.031254,5.9812503
87,1.2750001,53.475002,-10.950001
88,3.3000002,45.5625,-27.16875
89,12.356251,36.600002,-33.3375
90,11.925,41.475002,-28.612501
91,11.887501,38.71875,-31.44375
92,1.4625001,47.04375,-25.687502
93,4.2562504,53.362503,-12.337501
94,-2.90625,56.062504,6.61875
95,2.5875,54.037502,9.28125
96,-1.2750001,55.781254,-2.1750002
97,-0.26250002,50.718754,-20.23125
98,7.5375004,41.193752,-30.73125
99,12.375001,41.1375,-29.906252
100,17.212502,38.0625,-31.9125
101,7.55625,42.7125,-28.181252
102,3.91875,50.362503,-17.587502
103,-0.82500005,54.225002,-1.9875001
104,2.6625001,57.43125,8.3625
105,2.7562501,56.025,4.5
106,-1.29375,51.562504,-16.48125
107,6.61875,43.350002,-29.643751
108,12.675,39.16875,-32.775
109,12.39375,41.15625,-27.806252
110,6.76875,43.2,-30.6
111,2.0625,48.6375,-21.375
112,2.2875001,55.312504,-5.5125003
113,-1.29375,56.943752,6.5437503
114,1.5562501,54.15,7.3500004
115,-2.025,53.8875,-9.5625
116,3.5625002,47.456253,-25.44375
117,7.3500004,40.10625,-30.69375
118,10.8,43.0125,-26.6625
119,10.462501,40.125,-31.612501
120,1.6875001,49.350002,-23.00625
121,3.7500002,54.843754,-7.1625004
122,3.0375001,56.437504,7.5750003
123,5.3250003,55.068752,8.83125
124,-0.71250004,55.55625,-4.78125
125,2.25,46.55625,-23.268751
126,6.20625,39.956253,-33.412502
127,12.337501,43.068752,-28.987501
128,16.78125,38.268753,-30.13125
129,2.6625001,44.53125,-29.062502
130,5.68125,51.525,-16.21875
131,-0.84375006,56.156254,0.88125
132,3.05625,56.437504,8.38125
133,0.112500004,56.30625,-0.28125
134,2.41875,51.225002,-18.375
135,7.0875,42.9,-29.156252
136,14.2875,39.131252,-29.906252
137,16.25625,37.78125,-31.06875
138,5.9625,42.75,-29.925001
139,1.6875001,49.800003,-19.44375
140,0.13125001,56.30625,0.0375
141,2.8312502,55.781254,9.225
142,1.81875,56.68125,3.05625
143,-2.1375,52.74375,-17.79375
144,3.8812501,43.8375,-28.9125
145,12.637501,36.7125,-33.1875
146,16.331251,38.325,-31.25625
147,8.681251,41.04375,-31.087502
148,0.375,49.800003,-22.81875
149,2.15625,55.2,-5.34375
150,2.8875,55.0875,7.6125
151,3.3187501,56.531254,8.53125
152,-1.9125,52.93125,-7.9125004
153,0.63750005,46.875,-24.69375
154,8.625,38.4375,-32.9625
155,10.35,41.53125,-30.018751
156,11.26875,39.35625,-30.806252
157,-1.5187501,47.1375,-23.8125
158,2.8875,53.156254,-9.84375
159,-1.21875,56.268753,7.3875003
160,3.3375,56.250004,7.89375
161,-0.09375,55.350002,-2.68125
162,2.5875,47.60625,-22.5
163,8.0625,40.0125,-31.85625
164,13.6125,38.5125,-31.500002
165,15.375001,37.74375,-32.831253
166,0.93750006,44.8875,-27.562502
167,4.5750003,52.612503,-16.368752
168,-1.3312501,55.275,1.25625
169,1.725,55.518753,9.75
170,0.84375006,56.662502,4.0687504
171,-1.2750001,50.062504,-15.150001
172,6.8812504,40.575,-30.69375
173,15.20625,35.30625,-32.41875
174,18.54375,36.131252,-31.087502
175,9.712501,38.98125,-32.193752
176,1.6500001,48.843754,-18.768751
177,1.95,54.825,-2.5687501
178,3.54375,55.968754,9.675
179,4.05,56.456253,9.0
180,-2.025,54.3375,-6.80625
181,0.50625,47.193752,-20.475
182,6.9375005,39.881252,-31.0125
183,10.44375,40.85625,-27.562502
184,11.71875,39.318752,-28.368752
185,0.50625,45.24375,-24.956251
186,4.8,50.4,-15.01875
187,0.24375,55.65,4.1062503
188,3.4875002,56.381252,9.1875
189,1.9125,55.706253,1.7812501
190,-0.01875,51.525,-17.493752
191,7.425,42.581253,-28.0125
192,13.200001,39.9375,-29.906252
193,14.08125,39.99375,-27.337502
194,5.55,44.175003,-29.1375
195,-0.43125,49.65,-18.900002
196,2.025,55.36875,-2.7562501
197,0.4875,56.193752,6.675
198,2.1000001,55.85625,6.80625
199,-3.16875,52.518753,-10.14375
200,3.2812502,47.0625,-27.375002
